epoch,train_loss,val_loss,avg_train_node_loss,avg_train_edge_loss,avg_val_node_loss,avg_val_edge_loss
1,6.371849468588222,4.514235958798241,4.947129706170644,2.8494395237725945,3.516838697076754,1.9947945111580478
2,3.6909463433944105,2.887044755557111,2.796585673311368,1.788721346237866,2.078897422961606,1.616294665646007
3,2.691867896474278,2.515101622079165,1.9129665201001742,1.5578027508760754,1.7599720094950144,1.510259214248366
4,2.3928723047362523,2.282383198956497,1.6524976332290873,1.4807493416734787,1.555141929451746,1.4544825371895127
5,2.1970522660755747,2.119114714724417,1.4764101126552236,1.4412843045637846,1.4017982355510916,1.434632946061724
6,2.0739887163473107,2.0453853834676377,1.3631136412455593,1.421750155111525,1.336005836725235,1.4187590884798356
7,2.0021879321852847,1.9787918738736452,1.299594523268159,1.4051868198328796,1.2748321149185413,1.4079195090377603
8,1.959079132167107,1.942476763525082,1.2611707974421351,1.3958166664393528,1.2453241477940828,1.3943052364669684
9,1.9327858593093519,1.9241033278348791,1.2393241719499306,1.3869233722648313,1.231350024465386,1.3855066101514657
10,1.9036095512237128,1.9020140484999155,1.213670189456037,1.3798787273808124,1.210523366700602,1.3829813613236406
11,1.8785891009206885,1.8747668698543811,1.1950604755855174,1.3670572522388857,1.1843665221720252,1.380800706057148
12,1.8587249300880626,1.863810136118008,1.1803193326939865,1.3568111943975976,1.1830580837398994,1.3615040997512469
13,1.835124180125664,1.8313441535898747,1.1596431713565118,1.350962017408251,1.1540779685246125,1.3545323512481369
14,1.8236156674971604,1.8222820549520828,1.1513729703332753,1.3444853954788785,1.1461294477677528,1.3523052066337062
15,1.811111230017374,1.8200602162885302,1.1410279811845367,1.3401664986776374,1.1489035896672548,1.3423132496025727
16,1.8039920194191519,1.803645405150552,1.1359856873750687,1.3360126642146621,1.13453167620051,1.3382274494826338
17,1.791032403656906,1.8015154613793352,1.1267780952459179,1.3285086101303683,1.1331488164781613,1.3367333077747403
18,1.7858000192253618,1.787553335419138,1.1225023495700648,1.3265953387034162,1.120098465499077,1.3349097443900946
19,1.7823198275270609,1.784627060853798,1.1212194913742093,1.322200667878363,1.1218646001497299,1.3255249150381743
20,1.771237259733859,1.7864368671679314,1.1122847879732405,1.3179049447608926,1.1248456772047144,1.323182369006499
21,1.7679271586935064,1.7774010191436942,1.1102956239836124,1.315263069748676,1.1171774602573337,1.320447119137713
