Model Size,Task,Classifier,Seed,C,gamma,kernel,colsample_bytree,learning_rate,max_depth,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample
ss_multitask_mask_45,phylum,LGBM,0,,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154
ss_multitask_mask_45,phylum,LGBM,1,,,,0.8682112160275781,0.07516742665879303,11.0,661.0,77.0,0.03914287256840741,0.07394161323427771,0.6568480541899827
ss_multitask_mask_45,phylum,LGBM,2,,,,0.9973065177846362,0.029223525724947828,17.0,866.0,60.0,0.11508696467556201,0.25323718685559815,0.7096693037561841
ss_multitask_mask_45,class,SVM,0,61.06267064873812,,linear,,,,,,,,
ss_multitask_mask_45,class,SVM,1,96.81085478045662,,linear,,,,,,,,
ss_multitask_mask_45,class,SVM,2,1.2484030808286068,,linear,,,,,,,,
ss_multitask_mask_45,class,LGBM,0,,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154
ss_multitask_mask_45,class,LGBM,1,,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026
ss_multitask_mask_45,class,LGBM,2,,,,0.9973065177846362,0.029223525724947828,17.0,866.0,60.0,0.11508696467556201,0.25323718685559815,0.7096693037561841
ss_multitask_mask_45,order,SVM,0,22.390342721683695,,linear,,,,,,,,
ss_multitask_mask_45,order,SVM,1,96.81085478045662,,linear,,,,,,,,
ss_multitask_mask_45,order,SVM,2,1.2484030808286068,,linear,,,,,,,,
ss_multitask_mask_45,order,LGBM,0,,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154
ss_multitask_mask_45,order,LGBM,1,,,,0.8143585623662046,0.09561040970689902,11.0,614.0,96.0,0.012285817917393638,4.460426911895981,0.8163152758403859
ss_multitask_mask_45,order,LGBM,2,,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403
ss_multitask_mask_45,family,SVM,0,61.06267064873812,,linear,,,,,,,,
ss_multitask_mask_45,family,SVM,1,96.81085478045662,,linear,,,,,,,,
ss_multitask_mask_45,family,SVM,2,1.2484030808286068,,linear,,,,,,,,
ss_multitask_mask_45,family,LGBM,0,,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154
ss_multitask_mask_45,family,LGBM,1,,,,0.8143585623662046,0.09561040970689902,11.0,614.0,96.0,0.012285817917393638,4.460426911895981,0.8163152758403859
ss_multitask_mask_45,family,LGBM,2,,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403
ss_multitask_mask_45,genus,SVM,0,22.390342721683695,,linear,,,,,,,,
ss_multitask_mask_45,genus,SVM,1,96.81085478045662,,linear,,,,,,,,
ss_multitask_mask_45,genus,SVM,2,1.2484030808286068,,linear,,,,,,,,
ss_multitask_mask_45,genus,LGBM,0,,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154
ss_multitask_mask_45,genus,LGBM,1,,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026
ss_multitask_mask_45,genus,LGBM,2,,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403
ss_multitask_mask_45,species,SVM,0,22.390342721683695,,linear,,,,,,,,
ss_multitask_mask_45,species,SVM,1,2.2321849928717583,,linear,,,,,,,,
ss_multitask_mask_45,species,SVM,2,1.2484030808286068,,linear,,,,,,,,
ss_multitask_mask_45,species,LGBM,0,,,,0.9512773885388708,0.05659486115229478,5.0,301.0,147.0,0.013108813258313513,0.0705376339063223,0.6480786244852675
ss_multitask_mask_45,species,LGBM,1,,,,0.6888498190141499,0.012834169698744222,11.0,877.0,146.0,0.07300053042915261,0.02455193447436324,0.6077467831481188
ss_multitask_mask_45,species,LGBM,2,,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403
ss_multitask_mask_45,immunogenicity,SVM,0,22.390342721683695,,linear,,,,,,,,
ss_multitask_mask_45,immunogenicity,SVM,1,2.2321849928717583,,linear,,,,,,,,
ss_multitask_mask_45,immunogenicity,SVM,2,1.2484030808286068,,linear,,,,,,,,
ss_multitask_mask_45,immunogenicity,LGBM,0,,,,0.7845917449011728,0.1422119973969722,19.0,523.0,52.0,0.5572619319129039,0.40937346448417417,0.9034462497289428
ss_multitask_mask_45,immunogenicity,LGBM,1,,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026
ss_multitask_mask_45,immunogenicity,LGBM,2,,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403
ss_multitask_mask_45,link,SVM,0,0.9209225155490888,0.03410336598413758,rbf,,,,,,,,
ss_multitask_mask_45,link,SVM,1,96.81085478045662,,linear,,,,,,,,
ss_multitask_mask_45,link,SVM,2,1.2484030808286068,,linear,,,,,,,,
ss_multitask_mask_45,link,LGBM,0,,,,0.6527191449617569,0.11431471515815911,5.0,906.0,39.0,0.15612133571202763,0.4554748900348601,0.6659761840967536
ss_multitask_mask_45,link,LGBM,1,,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026
ss_multitask_mask_45,link,LGBM,2,,,,0.6676901786336712,0.027091362274609277,12.0,735.0,63.0,0.0137099823515695,8.901441378162104,0.7765419677419387
small_multitask_mask_45,domain,SVM,0,0.9209225155490888,0.03410336598413758,rbf,,,,,,,,
small_multitask_mask_45,domain,SVM,1,37.137282635707706,0.002352959348061621,rbf,,,,,,,,
small_multitask_mask_45,domain,SVM,2,1.275466815572557,0.003867464027059848,rbf,,,,,,,,
small_multitask_mask_45,domain,LGBM,0,,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154
small_multitask_mask_45,domain,LGBM,1,,,,0.6371203234562951,0.05826049138004879,5.0,416.0,28.0,3.081839932567508,0.06594014877215837,0.6236972805206253
small_multitask_mask_45,domain,LGBM,2,,,,0.9192801551348214,0.15943407786941663,7.0,485.0,88.0,3.569040794494147,0.16551033935787676,0.6108809463579398
small_multitask_mask_45,kingdom,SVM,0,0.9209225155490888,0.03410336598413758,rbf,,,,,,,,
small_multitask_mask_45,kingdom,SVM,1,2.2321849928717583,,linear,,,,,,,,
small_multitask_mask_45,kingdom,SVM,2,1.2484030808286068,,linear,,,,,,,,
small_multitask_mask_45,kingdom,LGBM,0,,,,0.8195254015709299,0.11387317092169064,8.0,863.0,123.0,0.18662266976517972,0.8663279761354559,0.775034884505077
small_multitask_mask_45,kingdom,LGBM,1,,,,0.867898414721392,0.24093763668497115,9.0,354.0,121.0,1.1367330868956231,0.04105412016858892,0.9512469745563782
small_multitask_mask_45,kingdom,LGBM,2,,,,0.8347187912000413,0.11565496320882328,11.0,645.0,78.0,0.16669535445395142,0.03395892008889068,0.9878529623307171
small_multitask_mask_45,phylum,SVM,0,0.9209225155490888,0.03410336598413758,rbf,,,,,,,,
small_multitask_mask_45,phylum,SVM,1,37.137282635707706,0.002352959348061621,rbf,,,,,,,,
small_multitask_mask_45,phylum,SVM,2,1.2484030808286068,,linear,,,,,,,,
small_multitask_mask_45,phylum,LGBM,0,,,,0.6527191449617569,0.11431471515815911,5.0,906.0,39.0,0.15612133571202763,0.4554748900348601,0.6659761840967536
small_multitask_mask_45,phylum,LGBM,1,,,,0.6888498190141499,0.012834169698744222,11.0,877.0,146.0,0.07300053042915261,0.02455193447436324,0.6077467831481188
small_multitask_mask_45,phylum,LGBM,2,,,,0.7743979608568015,0.010921849507601297,11.0,399.0,95.0,0.18243300267253287,0.09795000511540235,0.681859453615137
small_multitask_mask_45,class,SVM,0,1.3116515715358075,,linear,,,,,,,,
small_multitask_mask_45,class,SVM,1,37.137282635707706,0.002352959348061621,rbf,,,,,,,,
small_multitask_mask_45,class,SVM,2,1.2484030808286068,,linear,,,,,,,,
small_multitask_mask_45,class,LGBM,0,,,,0.6423630428751168,0.0500685766747399,19.0,559.0,134.0,0.23358825194833557,0.5073432032394334,0.607515920174542
small_multitask_mask_45,class,LGBM,1,,,,0.6888498190141499,0.012834169698744222,11.0,877.0,146.0,0.07300053042915261,0.02455193447436324,0.6077467831481188
small_multitask_mask_45,class,LGBM,2,,,,0.6676901786336712,0.027091362274609277,12.0,735.0,63.0,0.0137099823515695,8.901441378162104,0.7765419677419387
small_multitask_mask_45,order,SVM,0,22.390342721683695,,linear,,,,,,,,
small_multitask_mask_45,order,SVM,1,2.2321849928717583,,linear,,,,,,,,
small_multitask_mask_45,order,SVM,2,1.2484030808286068,,linear,,,,,,,,
small_multitask_mask_45,order,LGBM,0,,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154
small_multitask_mask_45,order,LGBM,1,,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026
small_multitask_mask_45,order,LGBM,2,,,,0.9973065177846362,0.029223525724947828,17.0,866.0,60.0,0.11508696467556201,0.25323718685559815,0.7096693037561841
small_multitask_mask_45,family,SVM,0,1.3116515715358075,,linear,,,,,,,,
small_multitask_mask_45,family,SVM,1,37.137282635707706,0.002352959348061621,rbf,,,,,,,,
small_multitask_mask_45,family,SVM,2,1.2484030808286068,,linear,,,,,,,,
small_multitask_mask_45,family,LGBM,0,,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154
small_multitask_mask_45,family,LGBM,1,,,,0.8143585623662046,0.09561040970689902,11.0,614.0,96.0,0.012285817917393638,4.460426911895981,0.8163152758403859
small_multitask_mask_45,family,LGBM,2,,,,0.9973065177846362,0.029223525724947828,17.0,866.0,60.0,0.11508696467556201,0.25323718685559815,0.7096693037561841
small_multitask_mask_45,genus,SVM,0,22.390342721683695,,linear,,,,,,,,
small_multitask_mask_45,genus,SVM,1,2.2321849928717583,,linear,,,,,,,,
small_multitask_mask_45,genus,SVM,2,1.2484030808286068,,linear,,,,,,,,
small_multitask_mask_45,genus,LGBM,0,,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154
small_multitask_mask_45,genus,LGBM,1,,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026
small_multitask_mask_45,genus,LGBM,2,,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403
small_multitask_mask_45,species,SVM,0,22.390342721683695,,linear,,,,,,,,
small_multitask_mask_45,species,SVM,1,96.81085478045662,,linear,,,,,,,,
small_multitask_mask_45,species,SVM,2,1.2484030808286068,,linear,,,,,,,,
small_multitask_mask_45,species,LGBM,0,,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154
small_multitask_mask_45,species,LGBM,1,,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026
small_multitask_mask_45,species,LGBM,2,,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403
small_multitask_mask_45,immunogenicity,SVM,0,0.9209225155490888,0.03410336598413758,rbf,,,,,,,,
small_multitask_mask_45,immunogenicity,SVM,1,37.137282635707706,0.002352959348061621,rbf,,,,,,,,
small_multitask_mask_45,immunogenicity,SVM,2,1.275466815572557,0.003867464027059848,rbf,,,,,,,,
small_multitask_mask_45,immunogenicity,LGBM,0,,,,0.8195254015709299,0.11387317092169064,8.0,863.0,123.0,0.18662266976517972,0.8663279761354559,0.775034884505077
small_multitask_mask_45,immunogenicity,LGBM,1,,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026
small_multitask_mask_45,immunogenicity,LGBM,2,,,,0.6988708955989413,0.012565517436629859,15.0,955.0,63.0,2.516373212772269,0.6389271811451119,0.9059839441806726
small_multitask_mask_45,link,SVM,0,1.3116515715358075,,linear,,,,,,,,
