GlyTouCan ID,IUPAC Condensed,Subsumption Level,Monoisotopic Mass
G25133BT,Gal(b1-3)[Col(a1-4)]GlcNAc,Linkage-defined saccharide,513.21
G25142VB,Gal(b1-3)GlcNAc(b1-3)Gal,Linkage-defined saccharide,545.2
G25164XM,Man(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-3)Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,2044.7
G25174EN,Xylf(b1-2)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Linkage-defined saccharide,864.32
G25197IR,Man(a1-3)[Glc(a1-6)]Man,Linkage-defined saccharide,504.17
G25288FM,ManNAc(a1-4)ManNAc(a1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,1236.49
G25290DT,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,3085.13
G25320RG,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)Glc,Linkage-defined saccharide,3222.15
G25296JT,Rha(a1-3)Gal(a1-3)Fuc,Linkage-defined saccharide,472.18
G25316ET,Gal(b1-4)[Gal(b1-6)]GlcNAc,Linkage-defined saccharide,545.2
G25337KO,Man(b1-2)Man(a1-2)[Glc(a1-3)]Man(a1-2)Man(b1-3)GlcNAc,Linkage-defined saccharide,1031.35
G25351JT,Gal(a1-3)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)[GlcNAc(b1-6)]Gal(b1-3)GalNAc,Linkage-defined saccharide,1259.47
G25370RQ,GlcA(a1-2)GalA(a1-2)Man(b1-4)Gal(b1-2)D-Rha,Linkage-defined saccharide,840.24
G25376BQ,Man(b1-4)[Gal(a1-6)]Man(b1-4)Man(b1-4)Man,Linkage-defined saccharide,828.27
G25382RS,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]GalNAc,Linkage-defined saccharide,1462.54
G25426UG,Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,3028.1
G25518VA,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcN,Linkage-defined saccharide,690.27
G25524RD,Gal(b1-4)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,Linkage-defined saccharide,748.27
G25454JU,Glc(b1-4)Glc(b1-4)Glc(b1-4)Man,Linkage-defined saccharide,666.22
G25456VJ,Rha(b1-4)Rha(b1-4)Rha,Linkage-defined saccharide,456.18
G25492QI,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]Gal,Linkage-defined saccharide,634.23
G25461QP,Gal(b1-2)[Ara(a1-3)]Glc,Linkage-defined saccharide,474.16
G25574DU,Man(a1-2)Man(a1-2)[Man(a1-6)Man(a1-6)]Man(a1-3)[Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,2044.7
G25599CF,Kdn(a2-3)Gal(b1-3)[GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-4)]GlcNAc(b1-6)]GalNAc,Linkage-defined saccharide,1550.56
G25554YF,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,Linkage-defined saccharide,1932.71
G25579YH,Gal(b1-3)GalNAc(a1-4)Gal(b1-3)GalNAc(a1-4)Gal(b1-3)GalNAc(a1-4)Gal(b1-3)GalNAc,Linkage-defined saccharide,1478.54
G25665NO,Gal(a1-6)Gal(a1-3)Galf(b1-3)Man(a1-3)Man(a1-4)GlcN,Linkage-defined saccharide,989.34
G25702TK,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-3)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,1405.52
G25656CV,Man(b1-2)Man(a1-2)Man,Linkage-defined saccharide,504.17
G25617US,GalNAc(b1-3)[GlcNAc(b1-4)]Gal(b1-4)Glc,Linkage-defined saccharide,748.27
G25674QD,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)[GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,2964.1
G25708TD,Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-3)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,1558.54
G25716MV,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)[Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)]GalNAc,Linkage-defined saccharide,1770.66
G25732CK,Rib(b1-3)Rha(a1-2)Glc,Linkage-defined saccharide,458.16
G25746QM,Xyl(a1-6)Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Xyl(b1-2)][Xyl(a1-6)]Glc(b1-4)Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Gal(b1-2)Xyl(a1-6)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc,Linkage-defined saccharide,2708.89
G25761WW,Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal,Linkage-defined saccharide,691.25
G25848FU,GlcNAc(b1-3)Gal(b1-3)[GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)]GalNAc,Linkage-defined saccharide,1154.43
G25809YI,Man(a1-3)Man(a1-4)GlcN,Linkage-defined saccharide,503.19
G25846QF,Xyl(b1-4)Xyl(b1-4)Xyl(b1-4)Xyl-onic,Linkage-defined saccharide,562.17
G25827FI,Man(a1-2)Man(a1-2)[Man(a1-6)]Man(a1-3)[Man(a1-3)[Man(a1-3)Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,2044.7
G25887WB,Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc,Linkage-defined saccharide,1843.67
G26027SF,GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,1665.62
G25995PQ,Glc(b1-3)Gal(b1-4)Rha(a1-2)Ara,Linkage-defined saccharide,620.22
G26007RY,Rha(a1-2)[Xyl(b1-3)]Ara,Linkage-defined saccharide,428.15
G26041PO,Kdn(a2-3)Gal(b1-4)Glc,Linkage-defined saccharide,592.19
G26072JD,Gal(b1-6)Gal(b1-6)Gal(b1-6)Gal(b1-6)Glc(b1-6)Glc(b1-6)Glc(b1-6)Glc,Linkage-defined saccharide,1314.43
G26081RR,Man(a1-3)[Man(a1-3)[Man(a1-2)Man(a1-2)Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,1720.59
G26094IX,Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(a1-4)GlcNAc,Linkage-defined saccharide,2044.7
G26104DQ,Rha(a1-3)Rha(a1-2)Gal(a1-3)GlcNAc(a1-3)GlcNAc(b1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc,Linkage-defined saccharide,1526.55
G26106YB,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[D-Fuc(b1-6)]GlcNAc,Linkage-defined saccharide,1583.57
G26209TI,GlcNAc(b1-6)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,Linkage-defined saccharide,951.35
G26166ZV,Rha(b1-3)Xyl(b1-4)Rha(b1-2)Ara,Linkage-defined saccharide,574.21
G26216ZN,Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc,Linkage-defined saccharide,1193.41
G26144BG,Man(a1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,586.22
G26256KF,Gal(b1-4)GlcNAc(b1-4)GlcNAc(b1-2)Man(a1-6)Man(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,1259.47
G26262IF,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-2)Gal(b1-4)Glc,Linkage-defined saccharide,1056.39
G26275HH,Gal(b1-2)[Rha(a1-6)]Glc,Linkage-defined saccharide,488.17
G26237YH,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc,Linkage-defined saccharide,1218.44
G26242QL,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Glc(b1-4)GlcNAc,Linkage-defined saccharide,1437.51
G26246KG_3,Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,1275.46
G26321UZ,Man(a1-4)Man(b1-3)Man(a1-4)GlcNAc(a1-4)GlcNAc,Linkage-defined saccharide,910.33
G26384XQ,Araf(a1-2)[Araf(a1-3)]Xyl,Linkage-defined saccharide,414.14
G26397JS,Man(a1-2)Man(a1-2)[Man(a1-3)Man(a1-2)Man(a1-6)]Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,2044.7
G26427QF,Gal(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GalNAc,Linkage-defined saccharide,1275.46
G26428AI,Xyl(b1-2)[Gal(a1-3)Glc(b1-3)Xyl(b1-4)Xyl(b1-4)]L-Gal,Linkage-defined saccharide,900.3
G26429CZ,Fuc(a1-2)Gal(b1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)GlcNAc(b1-6)]GalNAc,Linkage-defined saccharide,1243.47
G26376SK,Gal(a1-6)GlcNAc(a1-3)GalNAc,Linkage-defined saccharide,586.22
G26458UO,Gal(b1-4)Man(a1-3)[Gal(b1-4)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,1234.43
G26466JE,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc,Linkage-defined saccharide,1729.63
G26439AH,Gal(a1-3)[Rha(a1-4)]GlcNAc,Linkage-defined saccharide,529.2
G26457HT,Glc(b1-2)Man(a1-4)Glc(b1-2)Man,Linkage-defined saccharide,666.22
G26473LY,Fuc(a1-3)GlcNAc(b1-2)Man(a1-3)[Fuc(a1-3)GlcNAc(b1-2)Man(a1-6)]Man,Linkage-defined saccharide,1202.44
G26503HL,Gal(b1-4)GlcNAc(b1-3)[GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc,Linkage-defined saccharide,1316.49
G26463RX,GlcA(a1-3)Man(b1-4)Glc(a1-3)Glc,Linkage-defined saccharide,680.2
G26485ZL,Gal(b1-4)GlcNAc(a1-2)[Gal(b1-4)GlcNAc(b1-4)]Man,Linkage-defined saccharide,910.33
G26600PV,Gal(b1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,3165.13
G26618BI,GalNAc(a1-3)Rha(b1-4)Glc(b1-6)Gal,Linkage-defined saccharide,691.25
G26628WQ,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][GalNAc(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,2964.1
G26629TM,Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,1380.49
G26634XL,Gal(a1-3)Gal(a1-4)Gal(b1-4)Glc,Linkage-defined saccharide,666.22
G26637SB,Xyl(b1-2)Araf(a1-3)Xyl(b1-4)Xyl(b1-4)Xyl,Linkage-defined saccharide,678.22
G26534TO,Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,1396.49
G26560EX,Glc(b1-3)GalNAc(a1-3)GalNAc,Linkage-defined saccharide,586.22
G26653PY,Glc(b1-3)[Rha(a1-4)]Rha(a1-4)Rha(a1-2)Fuc,Linkage-defined saccharide,764.3
G26681ED,Glc(b1-2)[Glc(b1-3)]Gal(b1-4)Rha(a1-2)Ara,Linkage-defined saccharide,782.27
G26687SE,Gal(b1-2)[Abe(a1-3)]Man(a1-4)Rha(a1-4)Gal(b1-2)Man(a1-4)Rha,Linkage-defined saccharide,1088.4
G26724VB,Gal(b1-3)[Gal(a1-6)]Gal(a1-3)GalNAc(b1-4)GlcNAc(b1-3)Man(b1-4)Glc,Linkage-defined saccharide,1234.43
G26739DQ,Glc(a1-6)Man(a1-2)Glc,Linkage-defined saccharide,504.17
G26759LG,GlcA(b1-3)[Gal(b1-4)]Fuc,Linkage-defined saccharide,502.15
G26770HM,Kdo(a2-8)Kdo(a2-4)Kdo(a2-6)GlcNAc,Linkage-defined saccharide,881.26
G26784OK,Xyl(b1-6)Glc(b1-6)Glc,Linkage-defined saccharide,474.16
G26752MP,Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(b1-6)]Man(b1-4)GlcNAc,Linkage-defined saccharide,1679.57
G26805TI,GalNAc(a1-4)GalNAc(a1-3)QuiNAc,Linkage-defined saccharide,611.25
G26737BV,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(a1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,1681.62
G26855HN,Qui(b1-2)[D-Fuc(b1-2)Gal(b1-4)]Xyl(b1-3)Qui,Linkage-defined saccharide,750.28
G26876TS,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc,Linkage-defined saccharide,1186.45
G26883JZ,Kdo(b2-4)[Kdo(b2-7)]Kdo,Linkage-defined saccharide,678.19
G26885DO,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GalNAc,Linkage-defined saccharide,1478.54
G26922GZ,Xyl(a1-6)Glc(b1-4)[Araf(a1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)Glc(b1-4)Glc,Linkage-defined saccharide,1224.4
G26957IC,Rha(a1-2)[Araf(a1-4)]Glc,Linkage-defined saccharide,458.16
G26967QK,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,3295.19
G27010YT,Glc(a1-3)[Glc(a1-4)]Gal,Linkage-defined saccharide,504.17
G26948EO,Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man,Linkage-defined saccharide,828.27
G26949BV,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,1989.73
G26978XG,Glc(a1-2)Glc(a1-6)Glc(a1-6)Glc(a1-6)Glc,Linkage-defined saccharide,828.27
G27032ME,GalNAc(b1-3)Gal(a1-3)Gal(a1-3)Gal(a1-3)Gal(a1-3)Gal(a1-4)Gal(b1-4)Glc,Linkage-defined saccharide,1355.46
G27058WM,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,3514.26
G27060CX,Gal(b1-2)[Glc(b1-2)Gal(b1-4)]GlcA,Linkage-defined saccharide,680.2
G27025DE,Man(b1-4)Rha(a1-3)[Glc(a1-4)]Gal,Linkage-defined saccharide,650.23
G27121RD,Rha(a1-2)Rha(a1-3)Rha(a1-3)GlcNAc(b1-2)Rha(a1-2)Rha,Linkage-defined saccharide,951.38
G27121XZ,Glc(b1-3)[Rha(a1-4)Xyl(b1-2)]Glc(b1-4)Gal,Linkage-defined saccharide,782.27
G27169KC,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-3)[GalNAc(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,1973.73
G27104ZA,Man(a1-3)[GlcNAc(b1-4)][Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc,Linkage-defined saccharide,1234.43
G27106AM,Man(a1-2)Man(a1-2)Man(a1-3)Man(b1-4)GlcNAc,Linkage-defined saccharide,869.3
G27092SD,Gal(b1-4)GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,2030.76
G27172ZA,Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc(a1-4)Glc,Linkage-defined saccharide,1314.43
G27220IP,Man(a1-2)[Fuc(b1-3)]Glc,Linkage-defined saccharide,488.17
G27227MW,GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,2087.78
G27248DC,Man(b1-4)GlcA(b1-2)Man(a1-3)[Glc(b1-4)]Glc,Linkage-defined saccharide,842.25
G27196SM,Gal(a1-3)Gal(b1-4)Gal(a1-3)Gal,Linkage-defined saccharide,666.22
G27213AR,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal,Linkage-defined saccharide,1567.58
G27259XX,GalNAc(b1-4)GlcNAc(b1-2)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,2516.91
G27359DP,Fuc(a1-2)Gal(a1-3)Gal(a1-4)Gal(b1-4)Glc,Linkage-defined saccharide,812.28
G27361RQ,Glc(a1-4)[D-Fuc(a1-3)]Gal,Linkage-defined saccharide,488.17
G27395UP,Xyl(b1-2)Ara(a1-6)GlcNAc,Linkage-defined saccharide,485.17
G27431KG,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc,Linkage-defined saccharide,1218.44
G27445YH,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-4)][GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,1827.68
G27450XY,Kdo(b2-3)D-Rha(a1-3)GlcNAc(b1-3)D-Rha(a1-3)GlcNAc(b1-4)D-Rha(a1-3)GlcNAc(b1-4)Glc(b1-6)Glc(a1-4)Man,Linkage-defined saccharide,1771.64
G27461ST,Man(a1-3)[GlcNAc(b1-4)][GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,1462.54
G27459RV,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)Gal(b1-4)Glc,Linkage-defined saccharide,853.31
G27466OO_1,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,1989.73
G27477JR,Gal(b1-3)Gal(a1-4)Gal,Linkage-defined saccharide,504.17
G27528BD,Fuc(a1-2)Gal(a1-3)Gal(a1-4)Gal(b1-3)[Fuc(a1-2)Gal(a1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)GalNAc,Linkage-defined saccharide,1850.65
G27495UM,Man(a1-2)Man(a1-2)[Man(a1-2)Man(a1-6)]Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,1558.54
G27511LF,Glc(b1-4)Glc(b1-4)GlcNAc,Linkage-defined saccharide,545.2
G27483SK,Fuc(a1-2)Fuc(a1-3)GalNAc(b1-4)[Fuc(a1-2)Fuc(a1-2)Fuc(a1-3)]GalNAc(b1-3)Gal,Linkage-defined saccharide,1316.51
G27590XO,Glc(b1-2)[Glc(b1-3)]Fuc,Linkage-defined saccharide,488.17
G27594YI,Man(a1-6)Man(a1-3)[Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Linkage-defined saccharide,1188.43
G27597CQ,Glc(a1-4)Glc(a1-4)Glc(a1-3)Glc,Linkage-defined saccharide,666.22
G27598LC,GlcA(b1-3)Rha(a1-4)GlcNAc(a1-6)GalNAc,Linkage-defined saccharide,746.26
G27605DL,Gal(b1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-6)]GalNAc,Linkage-defined saccharide,1259.47
G27608TY,Galf(b1-3)[Gal(b1-6)]Man(a1-2)Glc,Linkage-defined saccharide,666.22
G27633IW,Glc(b1-3)[Glc(b1-6)]Glc(b1-3)Glc(b1-3)[Glc(b1-6)]Glc(b1-3)Glc,Linkage-defined saccharide,1152.38
G27641PQ,Man(a1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,1567.58
G27645SV,Man(a1-3)[Man(a1-4)]Rha,Linkage-defined saccharide,488.17
G27701UR,Fuc(a1-2)Fuc(a1-4)GlcNAc,Linkage-defined saccharide,513.21
G27774EA,Glc(b1-4)Glc(b1-4)Rib(b1-3)Rha(a1-2)Ara,Linkage-defined saccharide,752.26
G27650HP,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(a1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc,Linkage-defined saccharide,2167.78
G27744SG,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc,Linkage-defined saccharide,2167.78
G27778PJ,Fuc(a1-2)Gal(a1-3)Gal(a1-4)Gal(b1-3)[Gal(a1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-6)]GalNAc,Linkage-defined saccharide,1542.54
G27799KH,Gal(b1-4)[D-Fuc(a1-3)]GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)[D-Fuc(a1-3)]GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[D-Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,2078.77
G27814KF,GlcNAc(a1-2)Glc(a1-2)Gal,Linkage-defined saccharide,545.2
G27850GP,GlcA(b1-4)Glc(b1-3)GlcA(b1-4)Glc,Linkage-defined saccharide,694.18
G27800KI,Gal(b1-4)ManNAc(b1-6)Gal,Linkage-defined saccharide,545.2
G27844BF,Glc(a1-6)Glc(a1-4)Glc(a1-4)Glc(a1-6)Glc,Linkage-defined saccharide,828.27
G27777JR,Gal(a1-6)Gal(a1-6)[Fuc(a1-2)]Gal(b1-6)Man,Linkage-defined saccharide,812.28
G27855VW,Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,1396.49
G27869TC,Glc(b1-2)[D-Fuc(b1-6)]Glc,Linkage-defined saccharide,488.17
G27950WB,Glc(a1-3)Glc(b1-2)Glc,Linkage-defined saccharide,504.17
G27963AE,Rha(b1-4)Glc(b1-3)Rha,Linkage-defined saccharide,472.18
G27980WS,Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc,Linkage-defined saccharide,1355.46
G27994UV,Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,1932.71
