GlyTouCan ID,IUPAC Condensed,Subsumption Level,Monoisotopic Mass
G00471UP,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,2094.76
G00480NH,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,2078.77
G00496OX,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)[GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-6)]GalNAc,Linkage-defined saccharide,1446.55
G00470UO,GalNAc(b1-4)GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,2071.78
G00480OQ,GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)Man(b1-4)GlcNAc,Linkage-defined saccharide,951.35
G00510MX,Glc(b1-3)[Glc(b1-6)]Glc(b1-6)Glc(b1-6)Glc(b1-6)Glc,Linkage-defined saccharide,990.33
G00569WM,GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-3)GalNAc,Linkage-defined saccharide,1154.43
G00584LL,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,3085.13
G00614ZY,Glc(b1-3)Glc(b1-2)[Glc(b1-3)]Glc(b1-4)Gal,Linkage-defined saccharide,828.27
G00618HB,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][Xylf(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Linkage-defined saccharide,1594.59
G00576LP,GlcNAc(b1-2)D-Rha(a1-6)Glc,Linkage-defined saccharide,529.2
G00633GI_3,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc,Linkage-defined saccharide,1802.64
G00586CV_2,Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Linkage-defined saccharide,2044.7
G00608BN_1,Gal(b1-3)GlcNAc(b1-2)Man,Linkage-defined saccharide,545.2
G00615MZ,Man(a1-3)[Man(a1-3)Man(a1-6)]Man,Linkage-defined saccharide,666.22
