Model Size,Task,Classifier,Metric,Mean_Score,Std_Score,Mask
ss_multitask_mask_5,domain,SVM_HPO,Accuracy,0.5386289445048966,0.06708623565527029,5
ss_multitask_mask_5,domain,SVM_HPO,Macro-F1,0.45272436033799196,0.09770979835102059,5
ss_multitask_mask_5,domain,SVM_HPO,Macro-Precision,0.5388884905690857,0.09774126823216572,5
ss_multitask_mask_5,domain,SVM_HPO,Macro-Recall,0.6523030644858056,0.1281930720266801,5
ss_multitask_mask_5,domain,LGBM_HPO,Accuracy,0.8799419659049691,0.0054768476135442345,5
ss_multitask_mask_5,domain,LGBM_HPO,Macro-F1,0.5816062981894049,0.0050572639356408974,5
ss_multitask_mask_5,domain,LGBM_HPO,Macro-Precision,0.55811876911344,0.005733451015855063,5
ss_multitask_mask_5,domain,LGBM_HPO,Macro-Recall,0.6123020835887752,0.0036485622854369047,5
ss_multitask_mask_5,kingdom,SVM_HPO,Accuracy,0.6002901704751541,0.07739059954063067,5
ss_multitask_mask_5,kingdom,SVM_HPO,Macro-F1,0.3862176021877109,0.05645272945695256,5
ss_multitask_mask_5,kingdom,SVM_HPO,Macro-Precision,0.43951567314590195,0.03563109485795378,5
ss_multitask_mask_5,kingdom,SVM_HPO,Macro-Recall,0.5585468718422044,0.06247721585990229,5
ss_multitask_mask_5,kingdom,LGBM_HPO,Accuracy,0.8103010518679725,0.012705317292808832,5
ss_multitask_mask_5,kingdom,LGBM_HPO,Macro-F1,0.40190302042472364,0.0042238529085269995,5
ss_multitask_mask_5,kingdom,LGBM_HPO,Macro-Precision,0.4172075166976281,0.002048557877410371,5
ss_multitask_mask_5,kingdom,LGBM_HPO,Macro-Recall,0.39766437484875006,0.00406521359402814,5
ss_multitask_mask_5,phylum,SVM_HPO,Accuracy,0.5357272397533551,0.11654948723704575,5
ss_multitask_mask_5,phylum,SVM_HPO,Macro-F1,0.21640179027791864,0.048626429260318495,5
ss_multitask_mask_5,phylum,SVM_HPO,Macro-Precision,0.24037309379919214,0.04372202736222425,5
ss_multitask_mask_5,phylum,SVM_HPO,Macro-Recall,0.2854862076368236,0.02172770753857786,5
ss_multitask_mask_5,phylum,LGBM_HPO,Accuracy,0.7424737033006892,0.007719911735144265,5
ss_multitask_mask_5,phylum,LGBM_HPO,Macro-F1,0.21783633674950412,0.0016349517982555204,5
ss_multitask_mask_5,phylum,LGBM_HPO,Macro-Precision,0.23324568326088313,0.005702186304678838,5
ss_multitask_mask_5,phylum,LGBM_HPO,Macro-Recall,0.21404698134066388,0.0015155955167195142,5
ss_multitask_mask_5,class,SVM_HPO,Accuracy,0.3685165034457744,0.13685199161939268,5
ss_multitask_mask_5,class,SVM_HPO,Macro-F1,0.18076579345763086,0.04584447684521608,5
ss_multitask_mask_5,class,SVM_HPO,Macro-Precision,0.22512432678617467,0.05311195527927328,5
