Model Size,Task,Classifier,Seed,C,kernel,colsample_bytree,learning_rate,max_depth,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample,gamma
ss_multitask_mask_5,domain,SVM,0,61.06267064873812,linear,,,,,,,,,
ss_multitask_mask_5,domain,SVM,1,96.81085478045662,linear,,,,,,,,,
ss_multitask_mask_5,domain,SVM,2,1.2484030808286068,linear,,,,,,,,,
ss_multitask_mask_5,domain,LGBM,0,,,0.8195254015709299,0.11387317092169064,8.0,863.0,123.0,0.18662266976517972,0.8663279761354559,0.775034884505077,
ss_multitask_mask_5,domain,LGBM,1,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026,
ss_multitask_mask_5,domain,LGBM,2,,,0.9069964683661049,0.07124493899625672,19.0,748.0,35.0,0.28132576380055857,0.3278764015541138,0.7547570604474237,
ss_multitask_mask_5,kingdom,SVM,0,61.06267064873812,linear,,,,,,,,,
ss_multitask_mask_5,kingdom,SVM,1,96.81085478045662,linear,,,,,,,,,
ss_multitask_mask_5,kingdom,SVM,2,1.2484030808286068,linear,,,,,,,,,
ss_multitask_mask_5,kingdom,LGBM,0,,,0.8195254015709299,0.11387317092169064,8.0,863.0,123.0,0.18662266976517972,0.8663279761354559,0.775034884505077,
ss_multitask_mask_5,kingdom,LGBM,1,,,0.8715342131759564,0.02053999758694306,7.0,878.0,43.0,0.5664575403106769,0.4985814110725697,0.8455753271184223,
ss_multitask_mask_5,kingdom,LGBM,2,,,0.8347187912000413,0.11565496320882328,11.0,645.0,78.0,0.16669535445395142,0.03395892008889068,0.9878529623307171,
ss_multitask_mask_5,phylum,SVM,0,61.06267064873812,linear,,,,,,,,,
ss_multitask_mask_5,phylum,SVM,1,96.81085478045662,linear,,,,,,,,,
ss_multitask_mask_5,phylum,SVM,2,1.2484030808286068,linear,,,,,,,,,
ss_multitask_mask_5,phylum,LGBM,0,,,0.9981198270711551,0.07235415712774491,19.0,243.0,43.0,0.10328157319309919,1.057443000344446,0.7268806968277184,
ss_multitask_mask_5,phylum,LGBM,1,,,0.8143585623662046,0.09561040970689902,11.0,614.0,96.0,0.012285817917393638,4.460426911895981,0.8163152758403859,
ss_multitask_mask_5,phylum,LGBM,2,,,0.7743979608568015,0.010921849507601297,11.0,399.0,95.0,0.18243300267253287,0.09795000511540235,0.681859453615137,
