Model Size,Task,Classifier,Seed,C,kernel,colsample_bytree,learning_rate,max_depth,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample,gamma
ss_multitask_mask_25,domain,SVM,0,61.06267064873812,linear,,,,,,,,,
ss_multitask_mask_25,domain,SVM,1,96.81085478045662,linear,,,,,,,,,
ss_multitask_mask_25,domain,SVM,2,1.2484030808286068,linear,,,,,,,,,
ss_multitask_mask_25,domain,LGBM,0,,,0.9567092003128319,0.26512259742974303,15.0,805.0,59.0,0.38608662714605446,0.5059803874660432,0.9702386553170644,
ss_multitask_mask_25,domain,LGBM,1,,,0.8715342131759564,0.02053999758694306,7.0,878.0,43.0,0.5664575403106769,0.4985814110725697,0.8455753271184223,
ss_multitask_mask_25,domain,LGBM,2,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403,
ss_multitask_mask_25,kingdom,SVM,0,61.06267064873812,linear,,,,,,,,,
ss_multitask_mask_25,kingdom,SVM,1,96.81085478045662,linear,,,,,,,,,
ss_multitask_mask_25,kingdom,SVM,2,1.2484030808286068,linear,,,,,,,,,
ss_multitask_mask_25,kingdom,LGBM,0,,,0.7845917449011728,0.1422119973969722,19.0,523.0,52.0,0.5572619319129039,0.40937346448417417,0.9034462497289428,
ss_multitask_mask_25,kingdom,LGBM,1,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026,
ss_multitask_mask_25,kingdom,LGBM,2,,,0.9069964683661049,0.07124493899625672,19.0,748.0,35.0,0.28132576380055857,0.3278764015541138,0.7547570604474237,
ss_multitask_mask_25,phylum,SVM,0,61.06267064873812,linear,,,,,,,,,
ss_multitask_mask_25,phylum,SVM,1,96.81085478045662,linear,,,,,,,,,
ss_multitask_mask_25,phylum,SVM,2,1.2484030808286068,linear,,,,,,,,,
ss_multitask_mask_25,phylum,LGBM,0,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154,
ss_multitask_mask_25,phylum,LGBM,1,,,0.8682112160275781,0.07516742665879303,11.0,661.0,77.0,0.03914287256840741,0.07394161323427771,0.6568480541899827,
ss_multitask_mask_25,phylum,LGBM,2,,,0.9069964683661049,0.07124493899625672,19.0,748.0,35.0,0.28132576380055857,0.3278764015541138,0.7547570604474237,
ss_multitask_mask_25,class,SVM,0,61.06267064873812,linear,,,,,,,,,
ss_multitask_mask_25,class,SVM,1,96.81085478045662,linear,,,,,,,,,
ss_multitask_mask_25,class,SVM,2,1.2484030808286068,linear,,,,,,,,,
ss_multitask_mask_25,class,LGBM,0,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154,
ss_multitask_mask_25,class,LGBM,1,,,0.8143585623662046,0.09561040970689902,11.0,614.0,96.0,0.012285817917393638,4.460426911895981,0.8163152758403859,
ss_multitask_mask_25,class,LGBM,2,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403,
ss_multitask_mask_25,order,SVM,0,61.06267064873812,linear,,,,,,,,,
ss_multitask_mask_25,order,SVM,1,96.81085478045662,linear,,,,,,,,,
ss_multitask_mask_25,order,SVM,2,1.2484030808286068,linear,,,,,,,,,
ss_multitask_mask_25,order,LGBM,0,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154,
ss_multitask_mask_25,order,LGBM,1,,,0.8143585623662046,0.09561040970689902,11.0,614.0,96.0,0.012285817917393638,4.460426911895981,0.8163152758403859,
ss_multitask_mask_25,order,LGBM,2,,,0.7743979608568015,0.010921849507601297,11.0,399.0,95.0,0.18243300267253287,0.09795000511540235,0.681859453615137,
ss_multitask_mask_25,family,SVM,0,61.06267064873812,linear,,,,,,,,,
ss_multitask_mask_25,family,SVM,1,96.81085478045662,linear,,,,,,,,,
ss_multitask_mask_25,family,SVM,2,1.2484030808286068,linear,,,,,,,,,
ss_multitask_mask_25,family,LGBM,0,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154,
ss_multitask_mask_25,family,LGBM,1,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026,
ss_multitask_mask_25,family,LGBM,2,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403,
ss_multitask_mask_25,genus,SVM,0,61.06267064873812,linear,,,,,,,,,
ss_multitask_mask_25,genus,SVM,1,96.81085478045662,linear,,,,,,,,,
ss_multitask_mask_25,genus,SVM,2,1.2484030808286068,linear,,,,,,,,,
ss_multitask_mask_25,genus,LGBM,0,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154,
ss_multitask_mask_25,genus,LGBM,1,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026,
ss_multitask_mask_25,genus,LGBM,2,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403,
ss_multitask_mask_25,species,SVM,0,22.390342721683695,linear,,,,,,,,,
ss_multitask_mask_25,species,SVM,1,96.81085478045662,linear,,,,,,,,,
ss_multitask_mask_25,species,SVM,2,1.2484030808286068,linear,,,,,,,,,
ss_multitask_mask_25,species,LGBM,0,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154,
ss_multitask_mask_25,species,LGBM,1,,,0.6888498190141499,0.012834169698744222,11.0,877.0,146.0,0.07300053042915261,0.02455193447436324,0.6077467831481188,
ss_multitask_mask_25,species,LGBM,2,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403,
ss_multitask_mask_25,immunogenicity,SVM,0,0.9209225155490888,rbf,,,,,,,,,0.03410336598413758
ss_multitask_mask_25,immunogenicity,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
ss_multitask_mask_25,immunogenicity,SVM,2,1.2484030808286068,linear,,,,,,,,,
ss_multitask_mask_25,immunogenicity,LGBM,0,,,0.8195254015709299,0.11387317092169064,8.0,863.0,123.0,0.18662266976517972,0.8663279761354559,0.775034884505077,
ss_multitask_mask_25,immunogenicity,LGBM,1,,,0.7668088018810296,0.11587950184865049,14.0,815.0,99.0,0.05108188686258306,0.15478974396671022,0.755164296464803,
ss_multitask_mask_25,immunogenicity,LGBM,2,,,0.8347187912000413,0.11565496320882328,11.0,645.0,78.0,0.16669535445395142,0.03395892008889068,0.9878529623307171,
ss_multitask_mask_25,link,SVM,0,61.06267064873812,linear,,,,,,,,,
ss_multitask_mask_25,link,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
ss_multitask_mask_25,link,SVM,2,1.275466815572557,rbf,,,,,,,,,0.003867464027059848
ss_multitask_mask_25,link,LGBM,0,,,0.9512773885388708,0.05659486115229478,5.0,301.0,147.0,0.013108813258313513,0.0705376339063223,0.6480786244852675,
ss_multitask_mask_25,link,LGBM,1,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026,
ss_multitask_mask_25,link,LGBM,2,,,0.9069953039201313,0.22428038991112134,12.0,533.0,102.0,0.7807787581942088,0.10610474345425769,0.7526771763362244,
small_multitask_mask_25,domain,SVM,0,0.9209225155490888,rbf,,,,,,,,,0.03410336598413758
small_multitask_mask_25,domain,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
small_multitask_mask_25,domain,SVM,2,1.2484030808286068,linear,,,,,,,,,
small_multitask_mask_25,domain,LGBM,0,,,0.6527191449617569,0.11431471515815911,5.0,906.0,39.0,0.15612133571202763,0.4554748900348601,0.6659761840967536,
small_multitask_mask_25,domain,LGBM,1,,,0.6888498190141499,0.012834169698744222,11.0,877.0,146.0,0.07300053042915261,0.02455193447436324,0.6077467831481188,
small_multitask_mask_25,domain,LGBM,2,,,0.9069964683661049,0.07124493899625672,19.0,748.0,35.0,0.28132576380055857,0.3278764015541138,0.7547570604474237,
small_multitask_mask_25,kingdom,SVM,0,0.9209225155490888,rbf,,,,,,,,,0.03410336598413758
small_multitask_mask_25,kingdom,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
small_multitask_mask_25,kingdom,SVM,2,1.2484030808286068,linear,,,,,,,,,
