Model Size,Task,Classifier,Metric,Mean_Score,Std_Score,Mask
ss_multitask_mask_25,domain,SVM_HPO,Accuracy,0.8139281828073992,0.04625551971018994,25
ss_multitask_mask_25,domain,SVM_HPO,Macro-F1,0.5090607696578496,0.015807427238778576,25
ss_multitask_mask_25,domain,SVM_HPO,Macro-Precision,0.4994366955667409,0.0059528487794225215,25
ss_multitask_mask_25,domain,SVM_HPO,Macro-Recall,0.6178636675739965,0.0223085985848409,25
ss_multitask_mask_25,domain,LGBM_HPO,Accuracy,0.9085963003264418,0.003769425043675444,25
ss_multitask_mask_25,domain,LGBM_HPO,Macro-F1,0.505665396049653,0.08580628227535388,25
ss_multitask_mask_25,domain,LGBM_HPO,Macro-Precision,0.4896608087918879,0.08214990304198709,25
ss_multitask_mask_25,domain,LGBM_HPO,Macro-Recall,0.524164193988736,0.09035115347552174,25
ss_multitask_mask_25,kingdom,SVM_HPO,Accuracy,0.8110264780558579,0.054995008566490325,25
ss_multitask_mask_25,kingdom,SVM_HPO,Macro-F1,0.4634187775522712,0.05129765523905189,25
ss_multitask_mask_25,kingdom,SVM_HPO,Macro-Precision,0.46883854653000306,0.03534298512920914,25
ss_multitask_mask_25,kingdom,SVM_HPO,Macro-Recall,0.5668040378303877,0.030751583625295568,25
ss_multitask_mask_25,kingdom,LGBM_HPO,Accuracy,0.8570910409865796,0.00062823750727923,25
ss_multitask_mask_25,kingdom,LGBM_HPO,Macro-F1,0.44601862687982835,0.03840332817323111,25
ss_multitask_mask_25,kingdom,LGBM_HPO,Macro-Precision,0.4887533032577694,0.07571677378466385,25
ss_multitask_mask_25,kingdom,LGBM_HPO,Macro-Recall,0.4374419090946278,0.0350565971505006,25
ss_multitask_mask_25,phylum,SVM_HPO,Accuracy,0.7272397533550962,0.06378699323906162,25
ss_multitask_mask_25,phylum,SVM_HPO,Macro-F1,0.31054786238895676,0.04246768630803857,25
ss_multitask_mask_25,phylum,SVM_HPO,Macro-Precision,0.3257265063327215,0.04578597465203956,25
ss_multitask_mask_25,phylum,SVM_HPO,Macro-Recall,0.34062276845602546,0.014129641650860494,25
ss_multitask_mask_25,phylum,LGBM_HPO,Accuracy,0.8099383387740297,0.003497878404422527,25
ss_multitask_mask_25,phylum,LGBM_HPO,Macro-F1,0.29865724604605387,0.009563371837001651,25
ss_multitask_mask_25,phylum,LGBM_HPO,Macro-Precision,0.33243261147193937,0.021906011079545165,25
ss_multitask_mask_25,phylum,LGBM_HPO,Macro-Recall,0.30229917183314164,0.0149232266807744,25
ss_multitask_mask_25,class,SVM_HPO,Accuracy,0.5513239027928908,0.053577279183091096,25
ss_multitask_mask_25,class,SVM_HPO,Macro-F1,0.23227306673057094,0.04334660454081593,25
ss_multitask_mask_25,class,SVM_HPO,Macro-Precision,0.26336816361227217,0.04220192167502101,25
ss_multitask_mask_25,class,SVM_HPO,Macro-Recall,0.2605776028403706,0.04043036149346384,25
ss_multitask_mask_25,class,LGBM_HPO,Accuracy,0.6401886108088503,0.00125647501455846,25
ss_multitask_mask_25,class,LGBM_HPO,Macro-F1,0.2410003175640858,0.005157015877372271,25
ss_multitask_mask_25,class,LGBM_HPO,Macro-Precision,0.3159358658249008,0.006140095303984842,25
ss_multitask_mask_25,class,LGBM_HPO,Macro-Recall,0.23371988260358578,0.006740452403881272,25
ss_multitask_mask_25,order,SVM_HPO,Accuracy,0.32354007979688065,0.057838808169104514,25
ss_multitask_mask_25,order,SVM_HPO,Macro-F1,0.19089803223014198,0.027342953751875208,25
ss_multitask_mask_25,order,SVM_HPO,Macro-Precision,0.22304342572892846,0.021356587112562747,25
ss_multitask_mask_25,order,SVM_HPO,Macro-Recall,0.22307367624770583,0.02339536745851759,25
ss_multitask_mask_25,order,LGBM_HPO,Accuracy,0.36089952847297785,0.007245188377017816,25
ss_multitask_mask_25,order,LGBM_HPO,Macro-F1,0.17560676182911364,0.006489720205043677,25
ss_multitask_mask_25,order,LGBM_HPO,Macro-Precision,0.22322997737128758,0.011821348562650368,25
ss_multitask_mask_25,order,LGBM_HPO,Macro-Recall,0.17991046699972427,0.008749320891860653,25
ss_multitask_mask_25,family,SVM_HPO,Accuracy,0.28654334421472616,0.05805336096603085,25
ss_multitask_mask_25,family,SVM_HPO,Macro-F1,0.14429593993144496,0.025011261680649655,25
ss_multitask_mask_25,family,SVM_HPO,Macro-Precision,0.1744688749518565,0.016336235392050053,25
ss_multitask_mask_25,family,SVM_HPO,Macro-Recall,0.1573185576360885,0.026979297127691138,25
ss_multitask_mask_25,family,LGBM_HPO,Accuracy,0.32063837504533915,0.0031411875363962145,25
ss_multitask_mask_25,family,LGBM_HPO,Macro-F1,0.12240649140007574,0.003181396150415701,25
ss_multitask_mask_25,family,LGBM_HPO,Macro-Precision,0.14991396026256448,0.003633799163623286,25
ss_multitask_mask_25,family,LGBM_HPO,Macro-Recall,0.1254344830041565,0.009199990288159335,25
ss_multitask_mask_25,genus,SVM_HPO,Accuracy,0.26623141095393543,0.04819036251067791,25
