,[GRAPH_TOKEN],[NULL_TOKEN],Gal(ID:0),Fuc(ID:1),GlcNAc(ID:2),Gal(ID:3),Gal(ID:4),GlcNAc(ID:5),Man(ID:6),GlcNAc(ID:7),Gal(ID:8),GlcNAc(ID:9),Gal(ID:10),GlcNAc(ID:11),Gal(ID:12),Fuc(ID:13),GlcNAc(ID:14),Man(ID:15),Man(ID:16),GlcNAc(ID:17),Fuc(ID:18),AllNAc(ID:19),b1-4(0->2),a1-3(1->2),b1-2(2->6),a1-3(3->4),b1-4(4->5),b1-4(5->6),a1-3(6->16),b1-4(7->16),b1-4(8->9),b1-3(9->10),b1-4(10->11),b1-2(11->15),b1-4(12->14),a1-3(13->14),b1-6(14->15),a1-6(15->16),b1-4(16->17),b1-4(17->19),a1-6(18->19)
Man(ID:16),0.013199878,0.013507082,0.025988858,0.014065827,0.013497084,0.01669117,0.015607135,0.020946603,0.017018633,0.024536978,0.031562585,0.021892471,0.014338279,0.016717909,0.025973633,0.015428077,0.019647818,0.01610983,0.030100005,0.022040306,0.013717355,0.0149283,0.009438636,0.025366941,0.06906387,0.03085448,0.016314045,0.031383835,0.03214167,0.033416286,0.013242377,0.076971725,0.012659132,0.06017812,0.012374911,0.03202734,0.055139355,0.022340573,0.017833207,0.013536276,0.0182014
GlcNAc(ID:17),0.020215865,0.020028481,0.03178991,0.0139790345,0.013233761,0.02989355,0.026499562,0.011661346,0.017229104,0.012167849,0.03343592,0.01732024,0.022305628,0.01486367,0.028827842,0.015129833,0.017778026,0.013922952,0.025428172,0.015931608,0.010148196,0.026842972,0.0048016286,0.018483773,0.052152228,0.044322666,0.00719181,0.015602154,0.01615259,0.061550315,0.00941986,0.102892384,0.008001329,0.031547688,0.008522162,0.05343718,0.064853534,0.01942342,0.0117548825,0.015332906,0.01592395
Fuc(ID:18),0.017089412,0.017958518,0.04643883,0.014350545,0.02365506,0.028973773,0.019474987,0.014226236,0.01984426,0.01684196,0.04601401,0.021473553,0.025397051,0.022262998,0.040644266,0.013821959,0.01965148,0.016267695,0.01282357,0.012680599,0.012973052,0.022523275,0.021633592,0.039447658,0.0536132,0.043339916,0.015991695,0.012582805,0.028005702,0.022918705,0.01711584,0.049436074,0.01781335,0.026347747,0.017316341,0.03873268,0.032755494,0.017204808,0.009350828,0.02254634,0.028460123
AllNAc(ID:19),0.0192247,0.019286478,0.04152533,0.016171638,0.017373953,0.027464427,0.029903118,0.017078515,0.0203054,0.016972594,0.040891014,0.018491387,0.032923844,0.020123985,0.033567816,0.015501682,0.022879565,0.01958181,0.028813882,0.018633865,0.0116550485,0.030380575,0.012642883,0.016396038,0.036517773,0.048618983,0.015248908,0.0242765,0.014773059,0.07046419,0.014907789,0.051635355,0.0147932805,0.030039305,0.012692191,0.029984271,0.018188037,0.015863737,0.016480666,0.021478124,0.016248278
b1-4(0->2),0.02378934,0.023846285,0.036954656,0.018441768,0.020894216,0.037016094,0.027753886,0.01602913,0.01988428,0.01841949,0.037904665,0.014972751,0.029168768,0.018442718,0.033109006,0.019919967,0.014381152,0.02000495,0.017134227,0.012599078,0.016119178,0.030522734,0.0132620465,0.024481555,0.032140836,0.047839522,0.012950309,0.019400952,0.018197833,0.067007184,0.011683361,0.04069033,0.012945518,0.026541278,0.010046774,0.04170235,0.024040636,0.01791177,0.011967387,0.025905527,0.03397651
a1-3(1->2),0.024868118,0.02490399,0.039104793,0.025330648,0.025852617,0.035146557,0.03130342,0.019698292,0.025860667,0.019594874,0.03762822,0.021876985,0.034885854,0.024188906,0.034678385,0.026999854,0.021286484,0.026073813,0.025151301,0.018207174,0.02511691,0.0262563,0.018830959,0.018278752,0.02125145,0.019770969,0.017624712,0.014018691,0.013703089,0.04162881,0.016581034,0.037550397,0.018880298,0.020139147,0.017244553,0.023013908,0.03014331,0.016243791,0.014073259,0.02336613,0.023642574
b1-2(2->6),0.023362633,0.023002584,0.03511276,0.033850245,0.02460815,0.032379016,0.03501352,0.02494035,0.03632259,0.02004772,0.031972967,0.02498917,0.05254266,0.020666502,0.030543521,0.03342072,0.022185542,0.040731665,0.036174554,0.02864471,0.026182974,0.019461242,0.028304465,0.0097842105,0.010856455,0.022622667,0.028927093,0.02147632,0.01032451,0.019078286,0.02306613,0.029001608,0.02312035,0.013092345,0.020680472,0.0075334264,0.0084270835,0.012412617,0.023974847,0.018779736,0.012381598
a1-3(3->4),0.019806929,0.020400863,0.027040405,0.020027872,0.02460134,0.020554561,0.022318846,0.020833222,0.023877041,0.020292355,0.024573898,0.024175297,0.0319645,0.021766622,0.026477026,0.019978661,0.016346408,0.022742683,0.019823208,0.018951252,0.017414737,0.021047093,0.031258147,0.022936445,0.040584136,0.034019385,0.03096662,0.018351242,0.018286677,0.021394195,0.032777328,0.061822556,0.02460546,0.0296944,0.019641535,0.017464316,0.021518739,0.01683363,0.024860973,0.02713564,0.020833733
b1-4(4->5),0.017553443,0.01740317,0.030253923,0.01400427,0.017564874,0.029774807,0.035349198,0.017575381,0.02363013,0.015038762,0.030049628,0.01912025,0.034250118,0.018956807,0.028083587,0.013911738,0.019440105,0.021245176,0.026177596,0.018952256,0.01172156,0.02350831,0.013235699,0.016353782,0.028024968,0.037662126,0.014503067,0.031137716,0.018670678,0.05813913,0.013678895,0.0803881,0.015068229,0.028862929,0.012967671,0.040205292,0.031351436,0.020733899,0.017646307,0.021682877,0.016122103
b1-4(5->6),0.020384165,0.020221379,0.027453069,0.029652033,0.021503633,0.021535642,0.02172826,0.022154704,0.019150592,0.02140882,0.02701835,0.023250438,0.02770729,0.023030324,0.024851678,0.025571816,0.021409448,0.020734383,0.022239568,0.023035266,0.022847163,0.019263461,0.023296522,0.027831955,0.032572865,0.024878854,0.021243244,0.027357172,0.025944132,0.029174464,0.020871878,0.024511468,0.018992547,0.049608387,0.018868934,0.02566115,0.02533409,0.024703149,0.023005709,0.02549739,0.02449461
