,[GRAPH_TOKEN],[NULL_TOKEN],Gal(ID:0),Fuc(ID:1),GlcNAc(ID:2),Gal(ID:3),Gal(ID:4),GlcNAc(ID:5),Man(ID:6),GlcNAc(ID:7),Gal(ID:8),GlcNAc(ID:9),Gal(ID:10),GlcNAc(ID:11),Gal(ID:12),Fuc(ID:13),GlcNAc(ID:14),Man(ID:15),Man(ID:16),GlcNAc(ID:17),Fuc(ID:18),AllNAc(ID:19),b1-4(0->2),a1-3(1->2),b1-2(2->6),a1-3(3->4),b1-4(4->5),b1-4(5->6),a1-3(6->16),b1-4(7->16),b1-4(8->9),b1-3(9->10),b1-4(10->11),b1-2(11->15),b1-4(12->14),a1-3(13->14),b1-6(14->15),a1-6(15->16),b1-4(16->17),b1-4(17->19),a1-6(18->19)
b1-4(4->5),0.012091629,0.011930589,0.0183842,0.014729488,0.020973414,0.017316734,0.019259885,0.023433026,0.028053228,0.025380548,0.018117985,0.020559158,0.017758047,0.02243067,0.019260729,0.015167234,0.02155995,0.02373254,0.026015265,0.016099855,0.016059779,0.015373028,0.019286286,0.046573173,0.04819417,0.026237512,0.019053016,0.04308568,0.030269234,0.032851998,0.020102248,0.0342492,0.015620219,0.0418898,0.020070652,0.042687096,0.059163447,0.026088102,0.017759692,0.015276128,0.017855346
b1-4(5->6),0.016470334,0.016413629,0.025382202,0.017161915,0.017183017,0.020833015,0.016480755,0.014901448,0.034388077,0.017028091,0.024327287,0.015499163,0.015502404,0.015893651,0.025655914,0.016157923,0.0150423385,0.0341471,0.027935963,0.013292262,0.013664849,0.012959251,0.016766299,0.03759598,0.062062413,0.016047567,0.02271317,0.061540358,0.04280773,0.023226894,0.0164277,0.016565757,0.01802098,0.055520386,0.01627144,0.032855846,0.052427843,0.030874774,0.021056807,0.015719334,0.015178151
a1-3(6->16),0.02732351,0.027146377,0.01717117,0.016962629,0.021707105,0.015633326,0.01629337,0.021157753,0.046294607,0.014671205,0.016377602,0.019174596,0.016965799,0.023448432,0.017086651,0.016233183,0.020926105,0.041247807,0.04596537,0.029849194,0.016594231,0.02295538,0.0144532155,0.012950996,0.030503437,0.010523781,0.017968232,0.03454114,0.03269183,0.030770628,0.012586167,0.0191987,0.01992549,0.027296364,0.014113521,0.012524948,0.045224983,0.041564934,0.047573917,0.043410446,0.020991867
b1-4(7->16),0.015805652,0.015574563,0.019464685,0.015052223,0.02027898,0.015624451,0.018118087,0.018690573,0.044360247,0.020298667,0.018158555,0.018560724,0.016688835,0.019322742,0.020380607,0.014588932,0.01692356,0.038609266,0.045856956,0.019912083,0.013975514,0.018601175,0.018718312,0.021828702,0.055433054,0.014051728,0.024256311,0.039531063,0.038275424,0.029190555,0.016738763,0.017836291,0.022335194,0.05928089,0.017678136,0.020136021,0.026116304,0.040784504,0.033140652,0.023405898,0.016415136
b1-4(8->9),0.012723967,0.012416095,0.03250553,0.015993034,0.016565204,0.036673628,0.017546438,0.014774514,0.011358896,0.02219344,0.03511859,0.019175991,0.015647557,0.01572474,0.033498693,0.014995201,0.019037988,0.012357382,0.01094228,0.011538032,0.013378679,0.0122872265,0.023958456,0.05084479,0.021032717,0.065659374,0.020181667,0.031649653,0.016479054,0.045176618,0.034979865,0.061870936,0.014264732,0.026651576,0.023928948,0.04526972,0.059753224,0.013249354,0.011203221,0.010367401,0.017025594
b1-3(9->10),0.021316156,0.020883381,0.030372055,0.019381862,0.04206425,0.024521036,0.021189177,0.029530974,0.021966422,0.020323282,0.03196876,0.04629353,0.020242244,0.043932635,0.035222225,0.017927174,0.038867164,0.018426405,0.022054859,0.032386974,0.014675157,0.031224031,0.022441065,0.0127307065,0.020274572,0.016851477,0.023341093,0.022565275,0.014681464,0.02194788,0.026310258,0.016536575,0.029069893,0.019036014,0.019789977,0.011071945,0.011897868,0.01964743,0.035542145,0.036471948,0.015022654
b1-4(10->11),0.013719492,0.01344908,0.01881229,0.015577527,0.02352408,0.018745014,0.020424705,0.023789056,0.022872735,0.023675613,0.018866608,0.024496928,0.017449418,0.026086025,0.019904714,0.015921082,0.024774894,0.022296937,0.021784317,0.021100963,0.017200846,0.01917255,0.017501667,0.04153511,0.040109657,0.02109189,0.01987655,0.03777633,0.025397906,0.028908726,0.018619942,0.02976275,0.016636405,0.041662265,0.017751712,0.04000847,0.076258145,0.022323735,0.021856368,0.018615196,0.020662293
b1-2(11->15),0.012811586,0.012903348,0.014478733,0.014725659,0.012973876,0.011892344,0.016143749,0.014320869,0.03674348,0.013180584,0.014539046,0.012528701,0.023444694,0.014075844,0.01622829,0.016581358,0.013813094,0.06325597,0.036264323,0.015577021,0.020903798,0.01794722,0.024099471,0.026412344,0.02798524,0.011695926,0.019536048,0.06651162,0.040815435,0.031220485,0.022447282,0.0150862895,0.017526539,0.04010127,0.02269589,0.025321068,0.06329728,0.046210572,0.019267377,0.023165163,0.031271115
b1-4(12->14),0.0137902945,0.013679635,0.022862457,0.016617069,0.023958735,0.027629383,0.02186514,0.025079519,0.016816719,0.027740518,0.023198279,0.024594482,0.019577902,0.022966608,0.023188716,0.015977614,0.024312977,0.017722547,0.015290114,0.015518393,0.014664404,0.014469614,0.020640574,0.050467465,0.031175943,0.03214403,0.019872269,0.03850017,0.021413546,0.02575403,0.025712738,0.038831633,0.016062908,0.037692886,0.022077996,0.049255945,0.06085033,0.01982377,0.016562823,0.01487235,0.016767457
a1-3(13->14),0.029201718,0.028865289,0.031699963,0.026076037,0.0155931655,0.026876528,0.020688448,0.016123954,0.01493162,0.019082434,0.032172084,0.019079179,0.02492106,0.018299524,0.03290475,0.024828278,0.018977296,0.01670191,0.014953176,0.014956433,0.025898298,0.018722504,0.027396563,0.021726187,0.021795131,0.023701442,0.023531878,0.023723189,0.014970488,0.021164209,0.026118096,0.029639553,0.024300402,0.029875142,0.028901882,0.024896054,0.069799475,0.020343022,0.017147701,0.01952109,0.03989485
b1-6(14->15),0.019736415,0.019737467,0.016928932,0.01623055,0.017754968,0.013270005,0.017939886,0.016143683,0.03291679,0.015666906,0.015199142,0.015558559,0.022899698,0.017252527,0.017595269,0.01791567,0.0205452,0.047815386,0.032597173,0.017940113,0.024986912,0.024781609,0.020032741,0.021665948,0.024953678,0.011434965,0.017585076,0.02840434,0.029494675,0.0228692,0.021418106,0.016649706,0.01961866,0.041931964,0.022660706,0.022560088,0.0826228,0.046342246,0.023876376,0.027116228,0.037349656
a1-6(15->16),0.02493671,0.024467936,0.017020538,0.011263375,0.0298597,0.0129785575,0.020271286,0.029107459,0.043767884,0.01857703,0.016006142,0.02328766,0.020244751,0.030674357,0.018489897,0.011248137,0.029723674,0.03452877,0.04959957,0.039129693,0.012039986,0.025581751,0.0144209415,0.014314655,0.022469986,0.009153376,0.021624211,0.033863515,0.041415464,0.033421516,0.011161026,0.024516638,0.020756096,0.021876484,0.013211941,0.012723003,0.015327498,0.032239307,0.051944807,0.04985571,0.012898958
b1-4(16->17),0.016101647,0.01588552,0.016779702,0.013143255,0.017739523,0.012340985,0.0177503,0.019516455,0.046194263,0.019902807,0.01626759,0.016776487,0.017698267,0.021834007,0.018800719,0.013830952,0.020024698,0.046693422,0.05270016,0.0359551,0.017230779,0.028338939,0.012279862,0.010274609,0.03201724,0.010959209,0.019724054,0.033549912,0.029866537,0.04358909,0.010702144,0.016567051,0.020270867,0.033053946,0.011712105,0.009859801,0.049829975,0.037059844,0.053918563,0.040807348,0.022452254
b1-4(17->19),0.01782148,0.017361727,0.017625047,0.016559588,0.022314854,0.012999518,0.013389455,0.020976726,0.029929621,0.017500218,0.017257148,0.025439281,0.013631595,0.027477194,0.019911114,0.01702542,0.024868652,0.03418403,0.0346086,0.031042596,0.020070516,0.031195596,0.016562007,0.013332561,0.027233716,0.011672882,0.0213991,0.038954902,0.02357435,0.044027213,0.01799412,0.01565361,0.02325764,0.03406083,0.016042877,0.012380123,0.056994528,0.032940853,0.044950258,0.041154332,0.024624133
a1-6(18->19),0.0299197,0.028395185,0.025345912,0.01952534,0.02576527,0.016792418,0.016307069,0.02123806,0.019169498,0.018103793,0.024748811,0.033221655,0.018864708,0.030461028,0.02849764,0.017564561,0.027976919,0.022612533,0.025728282,0.027206602,0.017209997,0.030852731,0.019269934,0.022353686,0.015946029,0.019769548,0.025510877,0.032054342,0.0147451265,0.028396845,0.022886094,0.019962924,0.026335478,0.017018257,0.020223193,0.019757492,0.018719483,0.026170585,0.04557912,0.05311326,0.026680019
