Model Size,Task,Classifier,Metric,Mean_Score,Std_Score,Mask
large_multitask_mask_edge_70,genus,LGBM_HPO,Accuracy,0.4087776568734131,0.010051800116467906,70
large_multitask_mask_edge_70,genus,LGBM_HPO,Macro-F1,0.12976583966341051,0.006097411133150782,70
large_multitask_mask_edge_70,genus,LGBM_HPO,Macro-Precision,0.15205890253910434,0.00497290437723813,70
large_multitask_mask_edge_70,genus,LGBM_HPO,Macro-Recall,0.14340606905854048,0.0070573851543187915,70
large_multitask_mask_edge_70,species,SVM_HPO,Accuracy,0.3594486760972071,0.03324320417088026,70
large_multitask_mask_edge_70,species,SVM_HPO,Macro-F1,0.1512267361173897,0.0005415981389767035,70
large_multitask_mask_edge_70,species,SVM_HPO,Macro-Precision,0.16127729348427042,0.0003386288721018821,70
large_multitask_mask_edge_70,species,SVM_HPO,Macro-Recall,0.16934941505166556,0.0029096565509296565,70
large_multitask_mask_edge_70,species,LGBM_HPO,Accuracy,0.3779470438882844,0.015855997819654986,70
large_multitask_mask_edge_70,species,LGBM_HPO,Macro-F1,0.11843057226277937,0.008805634978555401,70
large_multitask_mask_edge_70,species,LGBM_HPO,Macro-Precision,0.13115458742453326,0.01080236243394136,70
large_multitask_mask_edge_70,species,LGBM_HPO,Macro-Recall,0.13169076070447083,0.00983138919599165,70
large_multitask_mask_edge_70,immunogenicity,SVM_HPO,Accuracy,0.928735632183908,0.040410105359188396,70
large_multitask_mask_edge_70,immunogenicity,SVM_HPO,Macro-F1,0.8589639626459903,0.07330840781469997,70
large_multitask_mask_edge_70,immunogenicity,SVM_HPO,Macro-Precision,0.8466536092633654,0.07982609528269916,70
large_multitask_mask_edge_70,immunogenicity,SVM_HPO,Macro-Recall,0.8746666666666667,0.0645083973861801,70
large_multitask_mask_edge_70,immunogenicity,SVM_HPO,AUPRC,0.7835913632279023,0.011612591343481436,70
large_multitask_mask_edge_70,immunogenicity,LGBM_HPO,Accuracy,0.9241379310344827,0.0,70
large_multitask_mask_edge_70,immunogenicity,LGBM_HPO,Macro-F1,0.8534944710499878,0.0031771477971733408,70
large_multitask_mask_edge_70,immunogenicity,LGBM_HPO,Macro-Precision,0.8288108814445238,0.002270513264614203,70
large_multitask_mask_edge_70,immunogenicity,LGBM_HPO,Macro-Recall,0.8860000000000001,0.012124355652982153,70
large_multitask_mask_edge_70,immunogenicity,LGBM_HPO,AUPRC,0.6873758596580548,0.008076633135409404,70
large_multitask_mask_edge_70,link,SVM_HPO,Accuracy,0.9696969696969697,0.0018939393939393923,70
large_multitask_mask_edge_70,link,SVM_HPO,Macro-F1,0.8863474729774999,0.010223060227983858,70
large_multitask_mask_edge_70,link,SVM_HPO,Macro-Precision,0.8398916140385664,0.009537995098335904,70
large_multitask_mask_edge_70,link,SVM_HPO,Macro-Recall,0.9752677205507395,0.0031446540880503693,70
large_multitask_mask_edge_70,link,LGBM_HPO,Accuracy,0.9633838383838383,0.002893040211462042,70
large_multitask_mask_edge_70,link,LGBM_HPO,Macro-F1,0.8726700137032884,0.013013854960464791,70
large_multitask_mask_edge_70,link,LGBM_HPO,Macro-Precision,0.838348452251573,0.014218591247299796,70
large_multitask_mask_edge_70,link,LGBM_HPO,Macro-Recall,0.9177881140145291,0.012653358957005275,70
