Model Size,Task,Classifier,Seed,C,kernel,gamma,colsample_bytree,learning_rate,max_depth,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample
large_multitask_mask_node_70,immunogenicity,SVM,1,24.580300161477634,rbf,0.00012082666253305468,,,,,,,,
large_multitask_mask_node_70,immunogenicity,SVM,2,1.275466815572557,rbf,0.003867464027059848,,,,,,,,
large_multitask_mask_node_70,immunogenicity,LGBM,0,,,,0.7261713403696736,0.03445441737078129,14.0,184.0,88.0,7.530916041188191,0.9085962729593787,0.8540235494414254
large_multitask_mask_node_70,immunogenicity,LGBM,1,,,,0.6611719290216115,0.07156694484230627,11.0,585.0,134.0,5.316250698200586,0.7414474013266332,0.6063284971386225
large_multitask_mask_node_70,immunogenicity,LGBM,2,,,,0.9192801551348214,0.15943407786941663,7.0,485.0,88.0,3.569040794494147,0.16551033935787676,0.6108809463579398
large_multitask_mask_node_70,link,SVM,0,0.5301709347576824,linear,,,,,,,,,
large_multitask_mask_node_70,link,SVM,1,96.81085478045662,linear,,,,,,,,,
large_multitask_mask_node_70,link,SVM,2,0.1501799526595153,linear,,,,,,,,,
large_multitask_mask_node_70,link,LGBM,0,,,,0.9981198270711551,0.07235415712774491,19.0,243.0,43.0,0.10328157319309919,1.057443000344446,0.7268806968277184
large_multitask_mask_node_70,link,LGBM,1,,,,0.8143585623662046,0.09561040970689902,11.0,614.0,96.0,0.012285817917393638,4.460426911895981,0.8163152758403859
large_multitask_mask_node_70,link,LGBM,2,,,,0.6676901786336712,0.027091362274609277,12.0,735.0,63.0,0.0137099823515695,8.901441378162104,0.7765419677419387
