Model Size,Task,Classifier,Metric,Mean_Score,Std_Score,Mask
large_multitask_mask_node_70,genus,LGBM_HPO,Macro-F1,0.13848020419862345,0.0038804290274917887,70
large_multitask_mask_node_70,genus,LGBM_HPO,Macro-Precision,0.16631729554814897,0.004411112341754777,70
large_multitask_mask_node_70,genus,LGBM_HPO,Macro-Recall,0.15015712929277972,0.0019208934364262017,70
large_multitask_mask_node_70,species,SVM_HPO,Accuracy,0.40696409140369966,0.0067954276369949825,70
large_multitask_mask_node_70,species,SVM_HPO,Macro-F1,0.17822200494180937,0.002159224345165035,70
large_multitask_mask_node_70,species,SVM_HPO,Macro-Precision,0.18958572895996273,0.00285462796997295,70
large_multitask_mask_node_70,species,SVM_HPO,Macro-Recall,0.1913716676421332,0.0021328042951534697,70
large_multitask_mask_node_70,species,LGBM_HPO,Accuracy,0.40732680449764236,0.007406810974487543,70
large_multitask_mask_node_70,species,LGBM_HPO,Macro-F1,0.1263108079162632,0.006487845075055377,70
large_multitask_mask_node_70,species,LGBM_HPO,Macro-Precision,0.13997870379907904,0.005109955509301281,70
large_multitask_mask_node_70,species,LGBM_HPO,Macro-Recall,0.13608385800253467,0.0052010055551567295,70
large_multitask_mask_node_70,immunogenicity,SVM_HPO,Accuracy,0.9149425287356321,0.003981725994411156,70
large_multitask_mask_node_70,immunogenicity,SVM_HPO,Macro-F1,0.8084623323013416,0.01703196061696069,70
large_multitask_mask_node_70,immunogenicity,SVM_HPO,Macro-Precision,0.8330517980124279,0.0008664722392441712,70
large_multitask_mask_node_70,immunogenicity,SVM_HPO,Macro-Recall,0.7896666666666666,0.026558112382722744,70
large_multitask_mask_node_70,immunogenicity,SVM_HPO,AUPRC,0.6689230922374257,0.05242779665190357,70
large_multitask_mask_node_70,immunogenicity,LGBM_HPO,Accuracy,0.9264367816091954,0.00398172599441122,70
large_multitask_mask_node_70,immunogenicity,LGBM_HPO,Macro-F1,0.8305868167511669,0.008257011050568433,70
large_multitask_mask_node_70,immunogenicity,LGBM_HPO,Macro-Precision,0.8706264584930716,0.026740106063855264,70
large_multitask_mask_node_70,immunogenicity,LGBM_HPO,Macro-Recall,0.8033333333333333,0.023180451534284902,70
large_multitask_mask_node_70,immunogenicity,LGBM_HPO,AUPRC,0.726679812726999,0.013483352876797422,70
large_multitask_mask_node_70,link,SVM_HPO,Accuracy,0.9753787878787877,1.3597399555105182e-16,70
large_multitask_mask_node_70,link,SVM_HPO,Macro-F1,0.8776140771971934,0.0,70
large_multitask_mask_node_70,link,SVM_HPO,Macro-Precision,0.8431547210721847,0.0,70
large_multitask_mask_node_70,link,SVM_HPO,Macro-Recall,0.9372439334703486,0.0,70
large_multitask_mask_node_70,link,LGBM_HPO,Accuracy,0.9684343434343434,0.0010934664189197767,70
large_multitask_mask_node_70,link,LGBM_HPO,Macro-F1,0.8448859332073032,0.0036701140818111147,70
large_multitask_mask_node_70,link,LGBM_HPO,Macro-Precision,0.8292441351055319,0.005631877235759685,70
large_multitask_mask_node_70,link,LGBM_HPO,Macro-Recall,0.8653799597195824,0.00047285034331661865,70
