epoch,train_loss,val_loss,avg_train_node_loss,avg_train_edge_loss,avg_val_node_loss,avg_val_edge_loss
1,2.581398621682198,2.025931189078411,1.799155730393625,1.564485783892698,1.3317030563609291,1.3884562695299396
2,1.9474033627829852,1.8634380953002523,1.266299446896098,1.3622078330387284,1.1942504460120018,1.3383753013064843
3,1.8386735885525802,1.8077734949934574,1.1759987089700732,1.3253497601516786,1.1469361122327906,1.3216747755312737
4,1.788944398557391,1.7701432281778058,1.1357426284630554,1.3064035363685094,1.1181968252622445,1.303892808333608
5,1.7565817911120951,1.7476341005500036,1.1097204190740562,1.2937227463023975,1.09993874002959,1.2953907280932857
6,1.7345494592280866,1.7307023779126525,1.0914031163692879,1.2862926842249514,1.0889209499795929,1.2835628576861082
7,1.716207814793433,1.7172187885255303,1.077934490576867,1.276546647395869,1.0780220806371166,1.278393414411836
8,1.702927002528325,1.7008163087240613,1.0675245873339108,1.2708048306671185,1.0638165272601687,1.27399955701282
9,1.6933925641615242,1.702015593761706,1.0613696692173065,1.264045786523657,1.0667758622697292,1.270479461163965
10,1.6874549874627933,1.696442647744681,1.0565768690156816,1.2617562370713173,1.0643944967794055,1.2640963119404915
11,1.6760175574463374,1.6809692016539683,1.0484504553478318,1.2551342009840272,1.050361301607758,1.2612157996374231
12,1.6708590956262497,1.6789201973503782,1.044719342186617,1.2522795066009758,1.0512136110595165,1.2554131789516856
13,1.6633728989012577,1.6668217973854706,1.0392289880808627,1.2482878194650688,1.0400248235873593,1.2535939489612142
14,1.6580521967040662,1.6616378326452415,1.0359448998824952,1.2442145908981916,1.0354963327182158,1.2522829946215825
15,1.651463409458842,1.6539235128701189,1.0305147542284583,1.2418973101318793,1.0319846290668457,1.2438777730665134
16,1.6445809653335597,1.641529825580029,1.0246839924811912,1.2397939453505498,1.0205867346233994,1.2418861785007798
17,1.641708950412496,1.6488447680728127,1.0217602228835156,1.2398974562541334,1.0271244846455014,1.2434405632146441
18,1.6389895623932467,1.639397919178009,1.0215076149926727,1.2349638946999515,1.020333827793143,1.238128187774702
19,1.63309126219543,1.6356003744001606,1.0166283848810884,1.232925755387656,1.0177682665468173,1.2356642025117657
20,1.6307429003644678,1.629954499597768,1.0141827619313586,1.2331202752976749,1.0146084155972677,1.230692173233469
21,1.6257302649761907,1.6381673694566916,1.0104391927781857,1.2305821469765164,1.0187953476232428,1.2387440393444236
22,1.6237653485279537,1.6256027710801773,1.0095150433143747,1.2285006111566805,1.009755417590833,1.231694700381228
23,1.6185137870862245,1.6283568332668479,1.0052482351180045,1.2265311068711338,1.0110085589512614,1.23469655249865
24,1.6165232882789116,1.6166040121599008,1.0030281659506628,1.226990244839916,1.002207592357206,1.2287928364204086
25,1.6127971540029669,1.6152963513181409,1.0005715311661438,1.2244512449146734,1.0018524905197492,1.226887709084358
26,1.6058152271703467,1.6124096524169427,0.9947012409264244,1.2222279706663106,0.9991667367347324,1.2264858379618813
27,1.6039612192047068,1.612674527495872,0.9936561387392783,1.2206101614115397,0.999843897824069,1.2256612532011426
28,1.6073350977968481,1.6052335366492962,0.9965245501471902,1.2216210916562478,0.9920794672638406,1.2263081421833912
29,1.6027081549319429,1.6112503388910804,0.9919135683866025,1.2215891736725595,1.0005646098888556,1.2213714570944545
30,1.6000689031312745,1.6024537025062182,0.9907971301664723,1.21854354494294,0.9921258006614583,1.2206557982295525
31,1.59380888131863,1.606277317263698,0.9846704357852353,1.218276893925586,0.9949384269141058,1.2226777813816798
32,1.59124432091802,1.5975697170232088,0.9837388265972834,1.215010985858574,0.9872792364304303,1.2205809648255355
33,1.5922695744675166,1.6049758862448102,0.9834775982364532,1.2175839494009375,0.993358975830879,1.2232338265153289
34,1.593532053617751,1.597397035769834,0.9857167780829407,1.215630553270641,0.9865597541095646,1.2216745644580318
35,1.5904109283446861,1.6021822213216592,0.9824003898657239,1.2160210808286844,0.9917208506860806,1.2209227374036804
36,1.5879463967574674,1.5906811411144168,0.9803505350656947,1.2151917242437145,0.9822543670657937,1.2168535508272302
37,1.5866819342854472,1.5943472421806277,0.9802156475282484,1.2129325754877263,0.9846579505287054,1.2193785780713757
38,1.5849020542586396,1.594077800293915,0.9785119813245504,1.212780143996046,0.9857937524109396,1.2165681025909103
39,1.583623948344148,1.5893767881029435,0.9780960197233183,1.211055857595847,0.9799284965709876,1.2188965892063752
40,1.5822202498014188,1.5837320412388285,0.976211233611625,1.2120180312664277,0.9751756152578892,1.2171128533268702
41,1.5826842539733457,1.5846039263801721,0.9762560994014877,1.2128563079546586,0.9767659317901116,1.215675990317614
42,1.578768143224797,1.5794797576110782,0.9736036883448906,1.2103289066480254,0.9710447093230168,1.2168701008985972
43,1.5792089707782597,1.5950928582944943,0.9739122560883419,1.2105934286461622,0.9867399978728695,1.2167057253932225
44,1.5796121276396442,1.5886456145130041,0.9741800534325463,1.21086414497352,0.9823988630571439,1.2124935049592083
45,1.5750930838805508,1.5873893108076722,0.9708132905117117,1.2085595861810983,0.9801716437094085,1.2144353401114922
46,1.572170258352631,1.5783124727602222,0.9682828340116503,1.2077748496433267,0.9738764405705547,1.2088720577818748
47,1.5727764496323613,1.5765984028805302,0.9691604328403448,1.2072320308770308,0.9722313111974993,1.2087341815460728
48,1.5759185279113934,1.5781293691114615,0.97174752102643,1.2083420160974427,0.9732144236109639,1.2098298871335182
49,1.570396969395299,1.5749949225942597,0.9674388600959235,1.205916217991573,0.9698467797222938,1.2102962846064385
50,1.5724566651220435,1.5806621649793087,0.9686987523640963,1.2075158269326431,0.9755335133949309,1.2102573070362324
51,1.5659224454231295,1.5764716938706755,0.9626395125416423,1.2065658630053742,0.9708865802479154,1.2111702283830132
52,1.5703931779478928,1.5753975622071565,0.9673130049643776,1.2061603436395147,0.9721624712452633,1.2064701873837536
53,1.5653770623415557,1.5796397651424845,0.9626832011271211,1.2053877184822117,0.9743128256260893,1.2106538758478091
54,1.5650734808327589,1.5752013742013742,0.9623521085961363,1.2054427436383754,0.9677267682006341,1.214949217233949
55,1.5641789825440262,1.582216796529202,0.9622664271722625,1.203825111148313,0.9782888400190659,1.207855909380294
56,1.5636349855740326,1.5729366135961227,0.961469323037537,1.2043313259584592,0.9699908171901266,1.2058915980444609
57,1.5607541610561122,1.5740536223841077,0.9596167467471295,1.20227482876976,0.969397503228588,1.2093122362635518
58,1.5625041989144728,1.569371502135546,0.9610299524267684,1.2029484915713098,0.9649341767298356,1.2088746564988873
59,1.5589469650251149,1.5736704973774103,0.9576606653086803,1.2025725994581682,0.9707191267996343,1.2059027422930448
60,1.5586894890499035,1.5730655525476878,0.9581790340017584,1.2010209110323562,0.9673752543580441,1.2113805991092712
