epoch,train_loss,val_loss,avg_train_node_loss,avg_train_edge_loss,avg_val_node_loss,avg_val_edge_loss
1,8.710417815501499,6.625984120914954,6.862190778267606,3.6964540852957954,5.197887979390967,2.856192286687953
2,5.857918857516173,5.282330705009344,4.63261788607858,2.4506019404464747,4.212948125737314,2.138765155814076
3,5.009785641737421,4.713999484331553,3.9907937867532155,2.037983708956448,3.7484006272017503,1.9311977192645764
4,4.522968000284885,4.288199301894385,3.57753379792228,1.8908684063443506,3.3656984039845357,1.8450017953647002
5,4.0964402079784605,3.798346904397921,3.1913645612566093,1.810151284690219,2.908511102654552,1.7796716221416269
6,3.4179855052805515,3.0722300069022723,2.55146354087747,1.7330439265292448,2.2343241240232046,1.6758117593881738
7,2.9516469337843065,2.7947822863819036,2.1402912423748313,1.6227113787204988,2.010128269668754,1.569308031151313
8,2.7083453474809844,2.5819965264269413,1.9374478020925068,1.5417950932056672,1.8248883219620653,1.5142164057447711
9,2.511328282603181,2.4122948878594026,1.7651997785161428,1.492257007313908,1.6740906811852492,1.47640841289331
10,2.3622315422282356,2.2843693167198706,1.6289030991254314,1.4666568898233776,1.5568720489057877,1.4549945433631197
11,2.2481062558490676,2.1979577900799177,1.5245619420790713,1.447088628273666,1.4763824662179437,1.4431506454489613
12,2.1580937770914748,2.1127648435476174,1.4417612354045004,1.4326650881807752,1.398842648922942,1.4278443865193666
13,2.093449827315245,2.072868551006754,1.3844937884291486,1.4179120766843316,1.3625298360831866,1.4206774218846823
14,2.0471992303944604,2.0348010882166507,1.3400591971109193,1.4142800624180325,1.3272956991923675,1.4150107780485663
15,2.0141481507968013,2.006820864349831,1.3101968951839542,1.407902514792865,1.301811796108275,1.4100181301131502
16,1.9886438775750697,1.9868013626746548,1.2880963155262943,1.4010951264503655,1.2838729474380726,1.4058568313831592
17,1.972600773457558,1.9698504295967918,1.2736673208114855,1.397866905848725,1.2654534481636441,1.408793959908813
18,1.9621098676541462,1.9663862886319634,1.2629095165150679,1.3984007043273825,1.2626206262876059,1.4075313235512217
19,1.9477548119572508,1.9559952689491156,1.2509056940320595,1.3936982326879972,1.2552334461503356,1.4015236405925897
20,1.942604065700379,1.943018648005624,1.246632372875064,1.391943384461573,1.2458403165103824,1.394356674365415
21,1.9310692532054434,1.941832167501668,1.2366360608987979,1.3888663914187451,1.2440408957368545,1.3955825373871635
22,1.925958860355646,1.9276631251546263,1.2324326798724603,1.3870523621301294,1.2327822462748026,1.3897617447922248
23,1.9182315756944728,1.9275972333573204,1.226068587515168,1.3843259777247603,1.2325510548726293,1.3900923606093603
24,1.9128917756226351,1.9165155441706416,1.221107315076025,1.383568920106556,1.2210365743127487,1.390957946085748
25,1.9053262998879663,1.915528175030046,1.215391393807829,1.3798698182067564,1.2221867574080256,1.3866828416140025
26,1.900977359790551,1.910203150665487,1.211491023998309,1.3789726710785022,1.2189258430295318,1.3825546091294472
27,1.893887321238607,1.8945257909425341,1.2060519972838246,1.3756706467711055,1.2039189187397483,1.3812137571454959
28,1.8800245551534744,1.884517613713068,1.1940622762452766,1.3719245561213567,1.1964250459470822,1.3761851239295406
29,1.8723147433814047,1.8730237675077133,1.1872782403372342,1.370073010566279,1.1841144773341317,1.3778185801196645
30,1.8617471677641715,1.8602734685854148,1.177711234660424,1.3680718686362074,1.1772400452435472,1.3660668496412176
31,1.848619877786102,1.8459047918556302,1.167036992825049,1.3631657718954346,1.1647433629472748,1.3623228612291904
32,1.8426851768343881,1.8485459389577386,1.162692286225956,1.3599857788640493,1.1690761717676206,1.3589395350627316
33,1.8336006543632275,1.8421648308521008,1.1560953233283526,1.355010660653001,1.1597672063885753,1.3647952477895577
34,1.8330513863288282,1.8377071118536796,1.155383699186184,1.3553353717047816,1.15941008242942,1.356594067265969
35,1.8219810569681012,1.8303057103211644,1.146818179567621,1.3503257532324167,1.153288961139344,1.354033494723662
36,1.8199989629975806,1.8168720921487298,1.1460374562996352,1.347923013775377,1.142821516926962,1.3481011415710886
37,1.8112622726651728,1.8250046677261818,1.1384280746856448,1.3456683933026519,1.149916247670887,1.350176836015614
38,1.810408650361419,1.8172355171378332,1.138857609271396,1.3431020827619249,1.1456880671832397,1.3430949033216666
