epoch,train_loss,val_loss,avg_train_node_loss,avg_train_edge_loss,avg_val_node_loss,avg_val_edge_loss
1,10.726286718112705,10.729582943079127,8.787748823344,3.8770757921685184,8.78953893312061,3.880087997167165
2,10.722986133475052,10.734437400148115,8.785125175842,3.8757219118254294,8.793043325875551,3.8827881185153057
3,10.723960296812203,10.737390590988042,8.786435587499259,3.8750494043572044,8.79900394323218,3.8767732709418725
4,10.724327727368003,10.741023828055113,8.78627693228082,3.8761015951329862,8.801837578984617,3.878372470841153
5,10.724560590267991,10.738357147187678,8.786880374966737,3.8753604386982166,8.79828769014082,3.880138919553684
6,10.727003935035096,10.734324702779755,8.788671806834145,3.876664259134205,8.795548362586334,3.8775526894867873
7,10.724635341171497,10.727588700884171,8.786258242126232,3.87675419262593,8.788438789717114,3.8782998641938655
8,10.725582074633277,10.733292889049036,8.787320951856863,3.876522224200399,8.794471380364804,3.87764303283837
9,10.722999315715201,10.731356038392045,8.784707654716609,3.8765833147110476,8.793911231383113,3.874889689547415
10,10.722620167027912,10.721937652762609,8.784099956522166,3.877040438720852,8.783408831094057,3.8770576378771366
11,10.725327687271584,10.733498525983505,8.787079282446507,3.8764968212877347,8.796420392189317,3.874156293978218
12,10.726273453296344,10.729425230099045,8.78813057520596,3.8762857691339,8.789900816123904,3.8790488243103027
13,10.723299717457873,10.727498163703745,8.785673517525096,3.875252385698069,8.788176030603074,3.8786442834912367
14,10.727045083491223,10.740954031471079,8.789084550277892,3.8759210425443276,8.8005394753609,3.8808291167703293
15,10.726149887301926,10.740912280919897,8.788167242283327,3.8759652951982106,8.800586802358845,3.880650980781963
16,10.723350324938375,10.74193157676522,8.78488424799843,3.8769321725000143,8.801818276179656,3.8802265210916067
17,10.725574609581603,10.737095450626985,8.78731347101856,3.8765222851205965,8.79845273403721,3.877285446829468
18,10.72429898274977,10.73453931590073,8.786173223032408,3.876251501219382,8.794424610283539,3.880229509513797
19,10.725232061182096,10.736100378837294,8.787003237848978,3.8764576488925564,8.797986205297573,3.8762283743792816
20,10.72116667305472,10.740371693181627,8.78351885070218,3.8752956288172555,8.800511542167373,3.879720312948445
21,10.723615889638308,10.731839918908273,8.785649944849451,3.8759318824939695,8.7943620463364,3.874955833413219
22,10.721212616598262,10.74064826965332,8.783792385221135,3.8748404509142826,8.801757564981475,3.8777814366435277
23,10.72167929728691,10.7337616782152,8.783697032766552,3.8759645571732966,8.794849763389761,3.877823828740884
24,10.72236492233082,10.739437853107015,8.78455766352409,3.8756145146787673,8.79855515210683,3.881765414740293
25,10.720016332959887,10.737554149773285,8.782131774721,3.87576912538305,8.798630437778153,3.8778474276302424
