epoch,train_loss,val_loss,avg_train_node_loss,avg_train_edge_loss,avg_val_node_loss,avg_val_edge_loss
1,6.371876984075699,4.543032512409996,4.950377507100486,2.8429989568851193,3.545944462295707,1.99417609840859
2,3.8951005905310043,2.9536227661234733,2.9838501926391356,1.8225007936586144,2.1303696113688346,1.6465063208842095
3,2.725419495172533,2.5332946276846733,1.9410844653440047,1.5686700557103992,1.7754150808767508,1.5157591040807825
4,2.408042752479657,2.30219315299551,1.6666647553039122,1.4827559969572948,1.5724437471109491,1.4594987976642055
5,2.2118667417754545,2.1389768810672614,1.4893263775747783,1.4450807248088824,1.4197566921019371,1.438440386575597
6,2.088266255647096,2.0514668453740708,1.3754342896753136,1.4256639334615098,1.3386158733877518,1.4257019444276358
7,2.0163383189658357,1.987824699805893,1.310856265178763,1.4109641057526114,1.2815842462404994,1.4124809021258171
8,1.9700081582182738,1.957139800978071,1.269620180458893,1.4007759563283322,1.2564019906611843,1.4014756219987652
9,1.9433408589790147,1.9290255676699049,1.247382560665822,1.391916595032543,1.232839088176043,1.3923729649026886
10,1.9157017744407183,1.912211272097726,1.2236713169107818,1.384060915844145,1.2189106759224229,1.386601189165625
11,1.8887497856327553,1.8808811334253268,1.2022373024216126,1.3730249632851985,1.1900132416768838,1.381735784634379
12,1.867250470574218,1.8685161671565689,1.1866294908422679,1.3612419605406922,1.1864795982837677,1.3640731395655916
13,1.8453562052980546,1.8409448598177378,1.1676922859681347,1.3553278423934314,1.161932300747806,1.3580251122248992
14,1.8326421247981806,1.8270271074680882,1.158193173364488,1.3488979027408898,1.1509144331207712,1.3522253593870701
15,1.8216366172089844,1.8253730922254898,1.1491062197397843,1.3450607997958244,1.15296568101599,1.3448148146840453
16,1.8147538001498869,1.8150834818832746,1.1442783801912857,1.3409508409291657,1.1453538177577594,1.3394593318910089
17,1.8025978111451673,1.8134655397356922,1.1353078032377317,1.3345800167382877,1.1432294818281217,1.3404721089901814
18,1.79730727393275,1.8027315449168664,1.1315208648304582,1.331572816534844,1.1323467584056708,1.3407695689274155
19,1.792672985402554,1.797082783156679,1.1287768483161926,1.3277922783976701,1.1307141284906228,1.3327373052371367
20,1.7840740169653058,1.796437911404908,1.1220150825730406,1.3241178675701744,1.1323281569790293,1.3282195102167493
21,1.781000144311649,1.7890043977562708,1.120390279575904,1.3212197311412297,1.1262594302191988,1.3254899400791138
22,1.7747278721506607,1.7763513058196498,1.1151887039782034,1.3190783323476594,1.1130302542721042,1.3266420924026547
23,1.7702316837116494,1.7711100519158458,1.112054160272731,1.3163550464224532,1.1109216397500221,1.3203768359340784
24,1.7673359706061804,1.7693409546640992,1.10965501943347,1.3153619013840556,1.1118871248860396,1.3149076474986914
25,1.7640663662163227,1.7656920788852313,1.1074239659440943,1.313284800822747,1.1071849878280218,1.3170141948543432
26,1.7595596757981489,1.7666633306568815,1.1031198205840609,1.3128797089102313,1.1091623457561013,1.3150019782190105
27,1.7592257989130926,1.7657911026750812,1.1049697893104042,1.3085120194836666,1.109157767004639,1.3132666647434235
28,1.7543862925017022,1.7597736347722643,1.1001407834361283,1.3084910183588394,1.1020166744257658,1.3155139336604198
29,1.749428105576941,1.755078318464847,1.0965743720759156,1.3057074684440988,1.1018569872124504,1.3064426802496873
30,1.747031274063478,1.755265162873814,1.0952110236387302,1.3036404994833448,1.1009895501245979,1.3085512236784433
31,1.7455478877537522,1.7414817714509163,1.093534218080987,1.3040273386371561,1.0885946437830234,1.30577425465329
32,1.7426187124084334,1.7370281442431093,1.0918614705850596,1.3015144830142702,1.0848114797632202,1.3044333269122903
33,1.7399439210094296,1.7443443727857284,1.0903112006410072,1.2992654403320598,1.093411290691099,1.301866170331722
34,1.7377240041773672,1.7413978089813058,1.0882451042963006,1.2989578009511902,1.0901967064114928,1.3024022140120732
35,1.7353844678816852,1.732717327944195,1.0867035197432457,1.2973618959226916,1.0820245255950753,1.301385604925738
36,1.7327826179956134,1.7432536250762356,1.0841479398095142,1.2972693585226207,1.0955759530304043,1.2953553429541698
