Model Size,Task,Classifier,Metric,Mean_Score,Std_Score,Mask
ss_multitask_mask_15,domain,SVM_HPO,Accuracy,0.7820094305404425,0.05434526788441562,15
ss_multitask_mask_15,domain,SVM_HPO,Macro-F1,0.527110163452975,0.10287806784024628,15
ss_multitask_mask_15,domain,SVM_HPO,Macro-Precision,0.5215173467368941,0.09318087374853211,15
ss_multitask_mask_15,domain,SVM_HPO,Macro-Recall,0.6183930326679582,0.11047569498112754,15
ss_multitask_mask_15,domain,LGBM_HPO,Accuracy,0.8995284729778744,0.00439766255095472,15
ss_multitask_mask_15,domain,LGBM_HPO,Macro-F1,0.6530259817122901,0.019439819818233905,15
ss_multitask_mask_15,domain,LGBM_HPO,Macro-Precision,0.6656659560954407,0.008233039612237173,15
ss_multitask_mask_15,domain,LGBM_HPO,Macro-Recall,0.6618536808161063,0.01515683100599025,15
ss_multitask_mask_15,kingdom,SVM_HPO,Accuracy,0.8277112803772216,0.06959272453133289,15
ss_multitask_mask_15,kingdom,SVM_HPO,Macro-F1,0.4299147219074693,0.03180622869796501,15
ss_multitask_mask_15,kingdom,SVM_HPO,Macro-Precision,0.4327766282460672,0.019453674520864307,15
ss_multitask_mask_15,kingdom,SVM_HPO,Macro-Recall,0.44358216176651705,0.028952430737989757,15
ss_multitask_mask_15,kingdom,LGBM_HPO,Accuracy,0.8614435981138918,0.00251295002911692,15
ss_multitask_mask_15,kingdom,LGBM_HPO,Macro-F1,0.5046394504360702,0.006656966516582623,15
ss_multitask_mask_15,kingdom,LGBM_HPO,Macro-Precision,0.5593011509262492,0.012137362549520244,15
ss_multitask_mask_15,kingdom,LGBM_HPO,Macro-Recall,0.4915744112320935,0.003943429502401631,15
ss_multitask_mask_15,phylum,SVM_HPO,Accuracy,0.7112803772216177,0.06378699323906158,15
ss_multitask_mask_15,phylum,SVM_HPO,Macro-F1,0.2875171875541182,0.06712501245932194,15
ss_multitask_mask_15,phylum,SVM_HPO,Macro-Precision,0.2900041235961569,0.049726454918050875,15
ss_multitask_mask_15,phylum,SVM_HPO,Macro-Recall,0.33134308059760637,0.059940719955935085,15
ss_multitask_mask_15,phylum,LGBM_HPO,Accuracy,0.7700398984403337,0.008862380647711714,15
ss_multitask_mask_15,phylum,LGBM_HPO,Macro-F1,0.2635314718504276,0.022483121116390586,15
ss_multitask_mask_15,phylum,LGBM_HPO,Macro-Precision,0.2982439902159125,0.0357661026846035,15
ss_multitask_mask_15,phylum,LGBM_HPO,Macro-Recall,0.283171504406512,0.02510867621980337,15
ss_multitask_mask_15,class,SVM_HPO,Accuracy,0.5085237577076532,0.09203840291884684,15
ss_multitask_mask_15,class,SVM_HPO,Macro-F1,0.2129072424784879,0.05978032707264391,15
ss_multitask_mask_15,class,SVM_HPO,Macro-Precision,0.2520570673234744,0.05585944046885983,15
ss_multitask_mask_15,class,SVM_HPO,Macro-Recall,0.23240150693844006,0.04660339285502817,15
ss_multitask_mask_15,class,LGBM_HPO,Accuracy,0.6343852013057671,0.012358886497933139,15
ss_multitask_mask_15,class,LGBM_HPO,Macro-F1,0.25336705666945186,0.020592903611678186,15
ss_multitask_mask_15,class,LGBM_HPO,Macro-Precision,0.3204400213462039,0.013642395136510287,15
ss_multitask_mask_15,class,LGBM_HPO,Macro-Recall,0.25604018069961504,0.020326850714973563,15
ss_multitask_mask_15,order,SVM_HPO,Accuracy,0.28980776206021036,0.0493436471401638,15
ss_multitask_mask_15,order,SVM_HPO,Macro-F1,0.14978878978501456,0.029775019328172274,15
ss_multitask_mask_15,order,SVM_HPO,Macro-Precision,0.18493645989590532,0.03292126103107034,15
ss_multitask_mask_15,order,SVM_HPO,Macro-Recall,0.1777174582421223,0.026668174048094618,15
ss_multitask_mask_15,order,LGBM_HPO,Accuracy,0.3670656510700036,0.01237484374989625,15
ss_multitask_mask_15,order,LGBM_HPO,Macro-F1,0.170056898864173,0.008731789298718583,15
ss_multitask_mask_15,order,LGBM_HPO,Macro-Precision,0.20454927534272094,0.009734074683970447,15
ss_multitask_mask_15,order,LGBM_HPO,Macro-Recall,0.18407871868028702,0.008467329758271745,15
ss_multitask_mask_15,family,SVM_HPO,Accuracy,0.24628219078708743,0.07030367887822936,15
ss_multitask_mask_15,family,SVM_HPO,Macro-F1,0.1050057283436273,0.029199315164472335,15
ss_multitask_mask_15,family,SVM_HPO,Macro-Precision,0.13226079753066794,0.0375357854876449,15
ss_multitask_mask_15,family,SVM_HPO,Macro-Recall,0.11855372858655272,0.026272167440017865,15
ss_multitask_mask_15,family,LGBM_HPO,Accuracy,0.2999637286906057,0.00724518837701784,15
ss_multitask_mask_15,family,LGBM_HPO,Macro-F1,0.11251748977610922,0.001780240533999242,15
ss_multitask_mask_15,family,LGBM_HPO,Macro-Precision,0.13625580745208488,0.007222620790380925,15
ss_multitask_mask_15,family,LGBM_HPO,Macro-Recall,0.1178970794942593,0.0030940185777155026,15
ss_multitask_mask_15,genus,SVM_HPO,Accuracy,0.22089227421109903,0.06717442582829444,15
ss_multitask_mask_15,genus,SVM_HPO,Macro-F1,0.0907727746628769,0.023669126151532664,15
ss_multitask_mask_15,genus,SVM_HPO,Macro-Precision,0.1173629049267597,0.028220055863406625,15
