Model Size,Task,Classifier,Seed,C,kernel,colsample_bytree,learning_rate,max_depth,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample,gamma
ss_multitask_mask_15,immunogenicity,LGBM,0,,,0.8195254015709299,0.11387317092169064,8.0,863.0,123.0,0.18662266976517972,0.8663279761354559,0.775034884505077,
ss_multitask_mask_15,immunogenicity,LGBM,1,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026,
ss_multitask_mask_15,immunogenicity,LGBM,2,,,0.9069953039201313,0.22428038991112134,12.0,533.0,102.0,0.7807787581942088,0.10610474345425769,0.7526771763362244,
ss_multitask_mask_15,link,SVM,0,0.5301709347576824,linear,,,,,,,,,
ss_multitask_mask_15,link,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
ss_multitask_mask_15,link,SVM,2,0.31103255667795526,linear,,,,,,,,,
ss_multitask_mask_15,link,LGBM,0,,,0.6527191449617569,0.11431471515815911,5.0,906.0,39.0,0.15612133571202763,0.4554748900348601,0.6659761840967536,
ss_multitask_mask_15,link,LGBM,1,,,0.8682112160275781,0.07516742665879303,11.0,661.0,77.0,0.03914287256840741,0.07394161323427771,0.6568480541899827,
ss_multitask_mask_15,link,LGBM,2,,,0.7188073428430751,0.02662055750387459,14.0,131.0,100.0,0.3039970037567343,0.4980757386244471,0.6887340668050816,
small_multitask_mask_15,domain,SVM,0,0.9209225155490888,rbf,,,,,,,,,0.03410336598413758
small_multitask_mask_15,domain,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
small_multitask_mask_15,domain,SVM,2,1.2484030808286068,linear,,,,,,,,,
small_multitask_mask_15,domain,LGBM,0,,,0.7845917449011728,0.1422119973969722,19.0,523.0,52.0,0.5572619319129039,0.40937346448417417,0.9034462497289428,
small_multitask_mask_15,domain,LGBM,1,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026,
small_multitask_mask_15,domain,LGBM,2,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403,
small_multitask_mask_15,kingdom,SVM,0,0.9209225155490888,rbf,,,,,,,,,0.03410336598413758
small_multitask_mask_15,kingdom,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
small_multitask_mask_15,kingdom,SVM,2,1.2484030808286068,linear,,,,,,,,,
small_multitask_mask_15,kingdom,LGBM,0,,,0.6527191449617569,0.11431471515815911,5.0,906.0,39.0,0.15612133571202763,0.4554748900348601,0.6659761840967536,
