Model Size,Task,Classifier,Metric,Mean_Score,Std_Score,Mask
ss_multitask_mask_35,domain,SVM_HPO,Accuracy,0.764961915125136,0.09258140705726131,35
ss_multitask_mask_35,domain,SVM_HPO,Macro-F1,0.5796248583270592,0.11387660383999643,35
ss_multitask_mask_35,domain,SVM_HPO,Macro-Precision,0.5845275692655788,0.08946007457642234,35
ss_multitask_mask_35,domain,SVM_HPO,Macro-Recall,0.6838512929448982,0.06551180058002314,35
ss_multitask_mask_35,domain,LGBM_HPO,Accuracy,0.8980776206021037,0.00787179340377611,35
ss_multitask_mask_35,domain,LGBM_HPO,Macro-F1,0.6138521380348047,0.010207437665883536,35
ss_multitask_mask_35,domain,LGBM_HPO,Macro-Precision,0.6016772643335792,0.013755257072708417,35
ss_multitask_mask_35,domain,LGBM_HPO,Macro-Recall,0.6277819670255115,0.00694639096955019,35
ss_multitask_mask_35,kingdom,SVM_HPO,Accuracy,0.8436706565107001,0.03682565149509483,35
ss_multitask_mask_35,kingdom,SVM_HPO,Macro-F1,0.47310337786970735,0.011295861288239235,35
ss_multitask_mask_35,kingdom,SVM_HPO,Macro-Precision,0.48287630441891255,0.016029874026077588,35
ss_multitask_mask_35,kingdom,SVM_HPO,Macro-Recall,0.4784184379281,0.02663933786131125,35
ss_multitask_mask_35,kingdom,LGBM_HPO,Accuracy,0.8632571635836054,0.0012564750145585243,35
ss_multitask_mask_35,kingdom,LGBM_HPO,Macro-F1,0.4696016879506863,0.03334778678033771,35
ss_multitask_mask_35,kingdom,LGBM_HPO,Macro-Precision,0.486583298040358,0.03607245235633264,35
ss_multitask_mask_35,kingdom,LGBM_HPO,Macro-Recall,0.4639923852897656,0.03259130217016594,35
ss_multitask_mask_35,phylum,SVM_HPO,Accuracy,0.7450126949582879,0.06570715635893953,35
ss_multitask_mask_35,phylum,SVM_HPO,Macro-F1,0.2848720792456534,0.014166507997931885,35
ss_multitask_mask_35,phylum,SVM_HPO,Macro-Precision,0.29783569632015466,0.015225028801166298,35
ss_multitask_mask_35,phylum,SVM_HPO,Macro-Recall,0.30313463199907464,0.04490293556133555,35
ss_multitask_mask_35,phylum,LGBM_HPO,Accuracy,0.7892636924192963,0.008310801042720096,35
ss_multitask_mask_35,phylum,LGBM_HPO,Macro-F1,0.2846580665626383,0.0009654502899154898,35
ss_multitask_mask_35,phylum,LGBM_HPO,Macro-Precision,0.30943358055599807,0.00967352412358841,35
ss_multitask_mask_35,phylum,LGBM_HPO,Macro-Recall,0.2871826252070596,0.005742879472897459,35
ss_multitask_mask_35,class,SVM_HPO,Accuracy,0.5400797968806673,0.0889771519583335,35
ss_multitask_mask_35,class,SVM_HPO,Macro-F1,0.23270072104268544,0.0431945633633175,35
ss_multitask_mask_35,class,SVM_HPO,Macro-Precision,0.27470621391672434,0.049096823110801574,35
ss_multitask_mask_35,class,SVM_HPO,Macro-Recall,0.2528510030474385,0.02923151167276334,35
ss_multitask_mask_35,class,LGBM_HPO,Accuracy,0.6438157417482772,0.007245188377017863,35
ss_multitask_mask_35,class,LGBM_HPO,Macro-F1,0.23029215774369619,0.0152756245675635,35
ss_multitask_mask_35,class,LGBM_HPO,Macro-Precision,0.29772491611211,0.023841360046251512,35
