Model Size,Task,Classifier,Seed,C,kernel,colsample_bytree,learning_rate,max_depth,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample,gamma
ss_multitask_mask_35,domain,SVM,0,22.390342721683695,linear,,,,,,,,,
ss_multitask_mask_35,domain,SVM,1,96.81085478045662,linear,,,,,,,,,
ss_multitask_mask_35,domain,SVM,2,1.2484030808286068,linear,,,,,,,,,
ss_multitask_mask_35,domain,LGBM,0,,,0.7479232370993361,0.0164555438559355,7.0,615.0,114.0,1.6053955926854302,7.701328264939122,0.6995012574079832,
ss_multitask_mask_35,domain,LGBM,1,,,0.9133257890779545,0.04067896468145359,8.0,397.0,35.0,0.9591956282799734,0.07861146398889109,0.7784538024344424,
ss_multitask_mask_35,domain,LGBM,2,,,0.914468896897069,0.061100092095880264,10.0,846.0,112.0,1.7633301562711625,2.48746490605933,0.8173380922335611,
ss_multitask_mask_35,kingdom,SVM,0,22.390342721683695,linear,,,,,,,,,
ss_multitask_mask_35,kingdom,SVM,1,96.81085478045662,linear,,,,,,,,,
ss_multitask_mask_35,kingdom,SVM,2,1.2484030808286068,linear,,,,,,,,,
ss_multitask_mask_35,kingdom,LGBM,0,,,0.6423630428751168,0.0500685766747399,19.0,559.0,134.0,0.23358825194833557,0.5073432032394334,0.607515920174542,
ss_multitask_mask_35,kingdom,LGBM,1,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026,
ss_multitask_mask_35,kingdom,LGBM,2,,,0.9069953039201313,0.22428038991112134,12.0,533.0,102.0,0.7807787581942088,0.10610474345425769,0.7526771763362244,
ss_multitask_mask_35,phylum,SVM,0,61.06267064873812,linear,,,,,,,,,
ss_multitask_mask_35,phylum,SVM,1,96.81085478045662,linear,,,,,,,,,
ss_multitask_mask_35,phylum,SVM,2,1.2484030808286068,linear,,,,,,,,,
ss_multitask_mask_35,phylum,LGBM,0,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154,
ss_multitask_mask_35,phylum,LGBM,1,,,0.8682112160275781,0.07516742665879303,11.0,661.0,77.0,0.03914287256840741,0.07394161323427771,0.6568480541899827,
ss_multitask_mask_35,phylum,LGBM,2,,,0.7743979608568015,0.010921849507601297,11.0,399.0,95.0,0.18243300267253287,0.09795000511540235,0.681859453615137,
ss_multitask_mask_35,class,SVM,0,61.06267064873812,linear,,,,,,,,,
ss_multitask_mask_35,class,SVM,1,96.81085478045662,linear,,,,,,,,,
ss_multitask_mask_35,class,SVM,2,1.2484030808286068,linear,,,,,,,,,
ss_multitask_mask_35,class,LGBM,0,,,0.9981198270711551,0.07235415712774491,19.0,243.0,43.0,0.10328157319309919,1.057443000344446,0.7268806968277184,
ss_multitask_mask_35,class,LGBM,1,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026,
ss_multitask_mask_35,class,LGBM,2,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403,
ss_multitask_mask_35,order,SVM,0,61.06267064873812,linear,,,,,,,,,
