Model Size,Task,Classifier,Seed,C,gamma,kernel,colsample_bytree,learning_rate,max_depth,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample
ss_multitask_mask_55,domain,SVM,0,0.9209225155490888,0.03410336598413758,rbf,,,,,,,,
ss_multitask_mask_55,domain,SVM,1,96.81085478045662,,linear,,,,,,,,
ss_multitask_mask_55,domain,SVM,2,1.2484030808286068,,linear,,,,,,,,
ss_multitask_mask_55,domain,LGBM,0,,,,0.6284144232791548,0.013449326615130807,8.0,855.0,99.0,4.074144654166231,8.626905220714901,0.9196634256866895
ss_multitask_mask_55,domain,LGBM,1,,,,0.9826142626682088,0.024293920045012667,5.0,828.0,85.0,1.2111570825917508,0.17479854309911966,0.6199813835784348
ss_multitask_mask_55,domain,LGBM,2,,,,0.6676901786336712,0.027091362274609277,12.0,735.0,63.0,0.0137099823515695,8.901441378162104,0.7765419677419387
ss_multitask_mask_55,kingdom,SVM,0,22.390342721683695,,linear,,,,,,,,
ss_multitask_mask_55,kingdom,SVM,1,96.81085478045662,,linear,,,,,,,,
ss_multitask_mask_55,kingdom,SVM,2,1.2484030808286068,,linear,,,,,,,,
ss_multitask_mask_55,kingdom,LGBM,0,,,,0.6423630428751168,0.0500685766747399,19.0,559.0,134.0,0.23358825194833557,0.5073432032394334,0.607515920174542
ss_multitask_mask_55,kingdom,LGBM,1,,,,0.8143585623662046,0.09561040970689902,11.0,614.0,96.0,0.012285817917393638,4.460426911895981,0.8163152758403859
ss_multitask_mask_55,kingdom,LGBM,2,,,,0.9849838287883929,0.09030638737802707,16.0,941.0,98.0,0.04877057553591605,4.341162910051525,0.8369985451146403
ss_multitask_mask_55,phylum,SVM,0,22.390342721683695,,linear,,,,,,,,
ss_multitask_mask_55,phylum,SVM,1,96.81085478045662,,linear,,,,,,,,
ss_multitask_mask_55,phylum,SVM,2,1.2484030808286068,,linear,,,,,,,,
ss_multitask_mask_55,phylum,LGBM,0,,,,0.9981198270711551,0.07235415712774491,19.0,243.0,43.0,0.10328157319309919,1.057443000344446,0.7268806968277184
ss_multitask_mask_55,phylum,LGBM,1,,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026
ss_multitask_mask_55,phylum,LGBM,2,,,,0.9973065177846362,0.029223525724947828,17.0,866.0,60.0,0.11508696467556201,0.25323718685559815,0.7096693037561841
ss_multitask_mask_55,class,SVM,0,61.06267064873812,,linear,,,,,,,,
ss_multitask_mask_55,class,SVM,1,96.81085478045662,,linear,,,,,,,,
ss_multitask_mask_55,class,SVM,2,1.2484030808286068,,linear,,,,,,,,
ss_multitask_mask_55,class,LGBM,0,,,,0.9981198270711551,0.07235415712774491,19.0,243.0,43.0,0.10328157319309919,1.057443000344446,0.7268806968277184
ss_multitask_mask_55,class,LGBM,1,,,,0.6888498190141499,0.012834169698744222,11.0,877.0,146.0,0.07300053042915261,0.02455193447436324,0.6077467831481188
ss_multitask_mask_55,class,LGBM,2,,,,0.9973065177846362,0.029223525724947828,17.0,866.0,60.0,0.11508696467556201,0.25323718685559815,0.7096693037561841
ss_multitask_mask_55,order,SVM,0,61.06267064873812,,linear,,,,,,,,
ss_multitask_mask_55,order,SVM,1,96.81085478045662,,linear,,,,,,,,
ss_multitask_mask_55,order,SVM,2,1.2484030808286068,,linear,,,,,,,,
