,[GRAPH_TOKEN],[NULL_TOKEN],Gal(ID:0),Fuc(ID:1),GlcNAc(ID:2),Gal(ID:3),Gal(ID:4),GlcNAc(ID:5),Man(ID:6),GlcNAc(ID:7),Gal(ID:8),GlcNAc(ID:9),Gal(ID:10),GlcNAc(ID:11),Gal(ID:12),Fuc(ID:13),GlcNAc(ID:14),Man(ID:15),Man(ID:16),GlcNAc(ID:17),Fuc(ID:18),AllNAc(ID:19),b1-4(0->2),a1-3(1->2),b1-2(2->6),a1-3(3->4),b1-4(4->5),b1-4(5->6),a1-3(6->16),b1-4(7->16),b1-4(8->9),b1-3(9->10),b1-4(10->11),b1-2(11->15),b1-4(12->14),a1-3(13->14),b1-6(14->15),a1-6(15->16),b1-4(16->17),b1-4(17->19),a1-6(18->19)
Gal(ID:10),0.011849638,0.011658843,0.012514019,0.03016198,0.014778388,0.011524999,0.010808453,0.012945391,0.04164937,0.01419793,0.011824707,0.014448704,0.010471296,0.015091528,0.011457995,0.0321579,0.013396513,0.03732674,0.038818292,0.012897549,0.030920953,0.1754009,0.012703391,0.07084979,0.01666066,0.0257616,0.010895695,0.010138734,0.01469556,0.014171735,0.012230251,0.01879911,0.011475863,0.023506068,0.011226802,0.08921708,0.019027272,0.015031404,0.010613969,0.011995761,0.024697166
GlcNAc(ID:11),0.01339105,0.01358619,0.016133884,0.0365517,0.012494113,0.015030125,0.013440579,0.011676351,0.049665637,0.011536974,0.014808781,0.011641584,0.012762558,0.012095546,0.015009963,0.038987357,0.01159671,0.059053455,0.049557887,0.011497248,0.037938282,0.11219407,0.017171731,0.051277526,0.023079686,0.038186997,0.015669059,0.014851803,0.0156961,0.013294662,0.01688096,0.016559787,0.015868556,0.019346835,0.015190769,0.05325587,0.023579001,0.019148288,0.013451481,0.012667665,0.024173182
Gal(ID:12),0.009495204,0.009256224,0.011301883,0.039540872,0.01264765,0.010887621,0.009976025,0.010898496,0.04888729,0.012107475,0.01101382,0.012433319,0.009861931,0.012996008,0.010774948,0.04255046,0.011365596,0.038970627,0.04255434,0.010567284,0.040451,0.17864674,0.010125798,0.079334565,0.0151226185,0.026176808,0.008141786,0.008581763,0.012554027,0.012058307,0.009653233,0.012988418,0.0088213,0.016497811,0.008873685,0.106317185,0.014277899,0.015624646,0.0072628693,0.008433933,0.021968508
Fuc(ID:13),0.021063762,0.021681316,0.022611342,0.041432414,0.02354071,0.021639284,0.02138497,0.022349324,0.027552933,0.023033425,0.022029394,0.023552217,0.020493157,0.02320466,0.022320671,0.040944222,0.02368805,0.02940208,0.029314216,0.02284313,0.04155217,0.028885456,0.023249708,0.03421296,0.016025957,0.02186013,0.022294141,0.01253855,0.017793488,0.016698105,0.023643192,0.016291251,0.02364888,0.016931798,0.02357231,0.033232752,0.019025594,0.030933786,0.02100544,0.018127458,0.03439559
GlcNAc(ID:14),0.013646483,0.013824578,0.014927713,0.03406992,0.012612814,0.0140398275,0.012475769,0.011963815,0.053459007,0.01177009,0.013855896,0.011616232,0.0124169495,0.011939482,0.013918905,0.0355849,0.011755325,0.06233428,0.05255383,0.011816186,0.034270175,0.10993591,0.017816305,0.044061214,0.024860743,0.040502593,0.016624637,0.017980587,0.021019742,0.014351845,0.01737374,0.016295904,0.016477581,0.020205304,0.015787816,0.04613305,0.024070442,0.020294903,0.014554709,0.013196994,0.02360381
Man(ID:15),0.021528007,0.021618959,0.021178765,0.021659896,0.030088466,0.021253275,0.023251757,0.029278304,0.01408796,0.028293325,0.022079956,0.028587399,0.022176394,0.030860122,0.02209527,0.020907464,0.03142278,0.016305335,0.014931902,0.028573066,0.02200296,0.017727714,0.019880347,0.020113293,0.027649458,0.01723872,0.023578443,0.021902755,0.05048874,0.018293459,0.02097534,0.027391369,0.023660028,0.03981002,0.020856244,0.020710224,0.029440776,0.0437619,0.023065032,0.01922834,0.022046447
Man(ID:16),0.021153292,0.02138793,0.024995666,0.023763377,0.027400598,0.024533518,0.025160061,0.027543915,0.016095884,0.026601948,0.024938788,0.026561338,0.024609953,0.027158454,0.025990244,0.0217521,0.029282676,0.016120313,0.016312795,0.02721883,0.022453161,0.013089501,0.020618197,0.019766986,0.034145817,0.023214556,0.023534501,0.02503812,0.056558456,0.019107133,0.02122681,0.022870839,0.023271006,0.02976577,0.021816118,0.020440262,0.023595488,0.031039957,0.023779854,0.020061556,0.026024224
GlcNAc(ID:17),0.013343941,0.013465104,0.01577442,0.03472913,0.01227368,0.014807756,0.013059562,0.01177272,0.055423453,0.011413574,0.014529711,0.011152984,0.013063789,0.011433028,0.014869828,0.03517254,0.011489733,0.061238904,0.054330833,0.0115037095,0.034082647,0.09698259,0.017514843,0.040772952,0.029258657,0.040893294,0.016933817,0.021489643,0.027642146,0.014282267,0.016805466,0.017234748,0.016463235,0.02111098,0.015469187,0.04254668,0.021777965,0.021615537,0.014844565,0.012915007,0.024515375
Fuc(ID:18),0.022446766,0.023061385,0.02185958,0.03774022,0.025450548,0.021242378,0.02138486,0.024181113,0.025209052,0.0248981,0.021753037,0.025265273,0.020569785,0.024962353,0.021645585,0.03734783,0.025441717,0.026311113,0.02597094,0.02469699,0.038128313,0.027155275,0.024255633,0.033178624,0.016398277,0.02102146,0.02369026,0.013496818,0.019208837,0.018306065,0.024613323,0.0171389,0.02486493,0.018110255,0.024534909,0.03188141,0.019666774,0.028013315,0.022623412,0.019908154,0.032366432
AllNAc(ID:19),0.028369702,0.0286663,0.032303784,0.023882441,0.020402368,0.032186035,0.033093803,0.023839517,0.020026654,0.021337459,0.03362392,0.021954633,0.039462764,0.02024736,0.03653498,0.021411827,0.0226451,0.023626046,0.022979194,0.022387391,0.021254798,0.0046443027,0.025445208,0.008917928,0.020209247,0.020303035,0.029860588,0.027207736,0.019116998,0.021301473,0.026431195,0.017511373,0.027600912,0.021970639,0.028135873,0.009400981,0.027781542,0.033863034,0.025391407,0.023491487,0.031178948
b1-4(0->2),0.013205133,0.013184893,0.012399693,0.031904086,0.014740486,0.011185763,0.009748674,0.013977218,0.053242598,0.014144208,0.011284081,0.013575217,0.009457821,0.013750686,0.011489663,0.032524046,0.0142360125,0.0626922,0.048533887,0.01391915,0.031688202,0.10440477,0.017143734,0.06578159,0.018965494,0.030779399,0.016639013,0.017524581,0.03263069,0.013365159,0.017108463,0.01657969,0.017481057,0.012535805,0.015293339,0.07102744,0.015927935,0.013899381,0.014264854,0.012016194,0.025747696
a1-3(1->2),0.010466649,0.010439709,0.018229257,0.06413449,0.015764154,0.016753267,0.013767405,0.015643924,0.038207162,0.015843403,0.016299576,0.017606193,0.012570906,0.017645039,0.015195313,0.0705429,0.016858527,0.045567207,0.039104905,0.014710641,0.07229282,0.07603675,0.013896136,0.075688526,0.008538754,0.025803624,0.011019502,0.006152824,0.007688986,0.008089822,0.015637545,0.009984632,0.012934464,0.006041904,0.012303783,0.07758345,0.0103010405,0.020085331,0.009024087,0.008094657,0.027450727
b1-2(2->6),0.01825974,0.018052408,0.014643412,0.012646613,0.015322801,0.015231395,0.014408207,0.015553114,0.05836446,0.015454378,0.014962344,0.015091049,0.018710773,0.015163825,0.01531383,0.012312271,0.01568671,0.0616869,0.05247505,0.015025533,0.011728605,0.033363573,0.017111931,0.01586016,0.044495888,0.029786972,0.01915168,0.082648225,0.03519541,0.023227777,0.018148754,0.031196417,0.018721556,0.02506345,0.018388284,0.015624751,0.036758233,0.029140372,0.018721461,0.019440029,0.021861665
a1-3(3->4),0.008525124,0.008253071,0.014069321,0.033322822,0.012694837,0.015270963,0.01357906,0.011870129,0.03834137,0.012841923,0.014741366,0.013358211,0.013559852,0.014278211,0.014046659,0.036371116,0.01185213,0.03290929,0.031264458,0.010683867,0.03514948,0.17962395,0.008308865,0.09464678,0.014266168,0.026479345,0.0066344463,0.010110566,0.012893697,0.014557434,0.008246178,0.013900675,0.0074652517,0.01342962,0.00738887,0.12691568,0.0070350897,0.01327174,0.006707778,0.008359542,0.02277506
b1-4(4->5),0.012335087,0.012195432,0.0127626825,0.03803705,0.013262224,0.011452038,0.010222875,0.012402441,0.057871882,0.012386609,0.011481186,0.011805581,0.010356918,0.012317076,0.011922877,0.038126096,0.012568308,0.06604852,0.05446996,0.012221548,0.036092684,0.1084458,0.015782053,0.05374211,0.02343661,0.037600048,0.015559769,0.017840218,0.03326421,0.013088591,0.015411913,0.017849797,0.015912995,0.014108,0.0136648845,0.053255487,0.014968056,0.016865335,0.013964408,0.011275616,0.023625014
