,[GRAPH_TOKEN],[NULL_TOKEN],Gal(ID:0),Fuc(ID:1),GlcNAc(ID:2),Gal(ID:3),Gal(ID:4),GlcNAc(ID:5),Man(ID:6),GlcNAc(ID:7),Gal(ID:8),GlcNAc(ID:9),Gal(ID:10),GlcNAc(ID:11),Gal(ID:12),Fuc(ID:13),GlcNAc(ID:14),Man(ID:15),Man(ID:16),GlcNAc(ID:17),Fuc(ID:18),AllNAc(ID:19),b1-4(0->2),a1-3(1->2),b1-2(2->6),a1-3(3->4),b1-4(4->5),b1-4(5->6),a1-3(6->16),b1-4(7->16),b1-4(8->9),b1-3(9->10),b1-4(10->11),b1-2(11->15),b1-4(12->14),a1-3(13->14),b1-6(14->15),a1-6(15->16),b1-4(16->17),b1-4(17->19),a1-6(18->19)
Gal(ID:8),0.024388954,0.025050078,0.024588484,0.02497053,0.024862748,0.024204826,0.024096873,0.024939079,0.025024772,0.02476711,0.024460586,0.025468644,0.024508104,0.025063243,0.02421257,0.024878018,0.024701942,0.025349926,0.024861982,0.024547212,0.024283256,0.02520393,0.023975393,0.0242334,0.023926884,0.023784459,0.023802003,0.024118124,0.023761772,0.023794167,0.024078159,0.023878276,0.02409929,0.023918938,0.023982301,0.02441115,0.023867087,0.023895223,0.024025569,0.023812188,0.024202717
GlcNAc(ID:9),0.024600685,0.025368582,0.0244723,0.025178013,0.024806432,0.024141729,0.024069395,0.02481112,0.025084333,0.024648618,0.0243511,0.025327923,0.02430922,0.024713896,0.024126962,0.024905229,0.02452821,0.025475657,0.024947336,0.02450609,0.02437351,0.025166232,0.024018425,0.024228845,0.023937028,0.023775846,0.023919536,0.024118317,0.023818513,0.023869555,0.02411902,0.023785582,0.024158191,0.023808435,0.02399521,0.024416052,0.02387492,0.02399826,0.024126548,0.023882853,0.024236284
Gal(ID:10),0.024368934,0.025053404,0.024649538,0.02509052,0.02481096,0.024172027,0.02417284,0.025036823,0.024880283,0.024725461,0.024439283,0.025493566,0.024531659,0.025069335,0.024275962,0.02489537,0.024717888,0.02549041,0.024876809,0.024553955,0.024161322,0.025055297,0.0239898,0.024234384,0.02384232,0.023768734,0.023839874,0.02411633,0.023723528,0.023823973,0.024052676,0.023868982,0.024104286,0.02392777,0.024036704,0.024346868,0.023900852,0.023960948,0.024018308,0.023806527,0.024115477
GlcNAc(ID:11),0.024466109,0.025111828,0.024642374,0.025050007,0.024817966,0.024280641,0.024280146,0.024818739,0.02497704,0.024676517,0.02449107,0.025425855,0.024321772,0.024797814,0.024256965,0.02479399,0.024564171,0.025344886,0.02489905,0.024494004,0.024372976,0.025198337,0.02402227,0.024245478,0.023892792,0.023836821,0.023942549,0.024055805,0.023818584,0.02384446,0.024111629,0.023792038,0.024099693,0.023850303,0.023992106,0.024397355,0.023851473,0.023948064,0.024073768,0.023879744,0.02426283
Gal(ID:12),0.024445303,0.024962181,0.024737418,0.025283433,0.024841223,0.024222925,0.024196066,0.025085151,0.024883177,0.024809437,0.024583185,0.025450816,0.024518523,0.024987387,0.024223464,0.02509992,0.024768759,0.02548783,0.024829403,0.024612753,0.024378344,0.025027478,0.023956254,0.024177244,0.023804815,0.023655307,0.023814555,0.024095435,0.023636296,0.023735862,0.024045521,0.023770975,0.024078593,0.023837354,0.023954697,0.024323497,0.023862213,0.023935216,0.023991164,0.023808155,0.024082668
Fuc(ID:13),0.024597183,0.025060922,0.024675874,0.025233027,0.02456551,0.024178937,0.024229161,0.024813447,0.025100369,0.024748955,0.024464414,0.025215365,0.02463365,0.024737354,0.02407813,0.024957271,0.024586793,0.025371116,0.024878763,0.02449769,0.024207128,0.025005922,0.02409419,0.024273157,0.02384452,0.0237653,0.023996186,0.02415675,0.02379896,0.023935053,0.02411346,0.02386429,0.02424483,0.023767628,0.02397579,0.02438268,0.02387072,0.023858884,0.024076669,0.023975516,0.02416845
GlcNAc(ID:14),0.024497647,0.025176365,0.024443371,0.025047284,0.02485095,0.024042007,0.024190456,0.024869928,0.025043525,0.024764884,0.024401482,0.02529217,0.024261625,0.024900667,0.02424693,0.024890922,0.024724958,0.025258042,0.024910698,0.024565594,0.024386587,0.02505825,0.02401607,0.024229493,0.023957819,0.023779752,0.023929505,0.024161315,0.02378523,0.023844386,0.024099156,0.023810372,0.024124112,0.02388043,0.02401727,0.024435252,0.023925532,0.023923527,0.02411442,0.023893118,0.024248905
Man(ID:15),0.02454458,0.025332771,0.024482215,0.025087263,0.024748016,0.024171257,0.02412245,0.024862576,0.024928827,0.024734616,0.024263967,0.025286153,0.02438905,0.024930531,0.02417361,0.025009193,0.024536543,0.025151573,0.02477008,0.02427018,0.024344938,0.0250467,0.024049904,0.024259882,0.023948211,0.023884958,0.023971152,0.024137579,0.023940459,0.02397497,0.024126569,0.023901222,0.024229635,0.023943482,0.024045048,0.024481393,0.02392159,0.023962855,0.024057584,0.023847263,0.024129152
Man(ID:16),0.024601428,0.025277361,0.0245316,0.024990276,0.024672087,0.024120506,0.02394259,0.024884026,0.024962697,0.024732249,0.024335157,0.025194168,0.024207558,0.024722785,0.024115067,0.024810195,0.024456352,0.025423216,0.024928674,0.024301417,0.02419076,0.02512885,0.024073286,0.024331164,0.024022933,0.023872267,0.023960019,0.02420356,0.023928748,0.024019785,0.0241361,0.023940608,0.024165487,0.02401041,0.02409577,0.024398232,0.02396905,0.024134677,0.02413521,0.023873815,0.024199866
GlcNAc(ID:17),0.024748676,0.025239225,0.024561347,0.025201567,0.024750637,0.02427788,0.02420673,0.024812447,0.024943765,0.024739617,0.024464682,0.025292564,0.024527827,0.024787087,0.024206163,0.024911484,0.024514508,0.025326584,0.024982773,0.024386756,0.024257803,0.025030103,0.02398793,0.024234835,0.023877326,0.023802187,0.023904532,0.024096925,0.023785066,0.023880199,0.024072811,0.023888025,0.024177255,0.023781374,0.024003576,0.024384145,0.023879012,0.023946544,0.024089027,0.023864275,0.024174739
